variety,location,yield_total,yield_total_cwt
Atlantic,OR,25.2,738
Lamoka,OR,27.3,799
Pike,OR,17.4,510
Snowden,OR,24.5,719
CO13232.11W,OR,20.8,608
CO13232.25W,OR,31.9,934
CO13232.5W,OR,24.5,717
NYR1.7,OR,29.3,860
NYR10.4,OR,28.6,837
NYR101.2,OR,23.4,687
NYR101.7,OR,34.8,1019
NYR102.3,OR,29.6,868
NYR102.7,OR,34.8,1020
NYR102.8,OR,29,851
NYR105.11,OR,26.8,784
NYR107.11,OR,26.4,773
NYR107.4,OR,36.4,1068
NYR107.6,OR,28.1,824
NYR17.1,OR,30.8,903
NYR2.2,OR,30.8,903
NYR3.5,OR,26.3,771
NYR5.6,OR,21.9,642
MSAA085.1,OR,16.5,485
MSAA100.1,OR,32.5,951
MSAA232.4,OR,24.6,720
MSAA275.3,OR,22,644
MSBB008.3,OR,17.2,505
MSBB018.1,OR,17.8,522
MSBB032.1,OR,13.3,389
MSBB038.1,OR,17,499
MSBB038.3,OR,17.3,507
MSBB047.1,OR,20.2,592
MSBB058.1,OR,20.9,612
MSBB079.2,OR,24.3,712
MSBB152.01,OR,19.8,582
MSBB190.1,OR,23,673
MSBB190.2,OR,25,734
MSBB193.1,OR,16,469
MSBB222.1,OR,16,469
MSBB230.2,OR,22.8,669
MSBB610.13,OR,15.2,445
MSBB614.10,OR,11.5,336
MSBB617.2,OR,16.8,491
MSBB618.9,OR,18,527
MSBB623.12,OR,24.6,721
MSBB625.2,OR,20.8,610
MSBB633.18,OR,28.1,822
MSBB634.8,OR,22.1,648
MSBB635.14,OR,32.3,946
MSCC009.1,OR,18.8,552
MSCC058.1,OR,20.7,608
MSCC081.1,OR,21.2,620
MSCC168.1,OR,25.2,739
MSCC248.3,OR,18.4,539
MSCC256.02,OR,26.1,765
MSCC266.1,OR,22.2,652
MSCC376.1,OR,22.6,663
MSDD085.13,OR,19.4,568
MSX194.3,OR,23.2,681
MSX472.2,OR,16.4,481
MSZ248.02,OR,27.1,793
MSZ248.10,OR,17.2,503
NC727.6,OR,17,498
NC733.7,OR,17,497
NC744.4,OR,20,588
ND1336.5,OR,16.2,475
ND14134Y.3,OR,13.9,409
ND1462ABC.1a,OR,25.6,751
AOR13124.6,OR,22.3,655
AOR13137.2,OR,21.4,628
NDOR13317CB.2,OR,25.4,745
NDOR13320CAB.2,OR,16.7,489
NDOR1480Y.3,OR,21.3,623
NYORN41.5,OR,22.4,655
ATX13134.3W/Y,OR,21.3,625
NDTX1444.5W,OR,14,412
TX12484.3WZC,OR,15.3,449
AF6165.9,OR,15.5,453
AF6188.9,OR,17.4,511
AF6197.8,OR,21.5,630
AF6200.7,OR,18.3,536
AF6206.5,OR,23.5,689
AF6236.7,OR,21.4,628
AF6237.3,OR,15.3,448
AF6253.1,OR,15.7,460
AF6520.5,OR,18.5,541
AF6522.1,OR,19.2,562
AF6531.3,OR,19.8,582
AF6542.1,OR,27.3,800
AF6550.2,OR,24.9,729
AF6551.1,OR,22.6,661
AF6602.3,OR,24,705
AF6603.5,OR,30.8,903
AF6614.4,OR,23.7,694
AF6616.1,OR,32.3,947
AF6616.4,OR,28.6,837
WAF15133.3,OR,16.3,478
WAF15184.4,OR,23.9,699
WAF15204.4,OR,15,440
WAF15221.2,OR,27.2,797
A13125.3C ,OR,32.9,964
B2904.2,OR,27.1,794
B3012.1,OR,19.1,559
BNC549.1,OR,15.6,458
B3296.3,OR,20,586
B3306.2,OR,16.6,486
B3317.1,OR,14.4,421
BNC726.5,OR,14.8,435
BNC742.2,OR,17.1,502
BNC811.9,OR,23.6,692
B3378.3,OR,17.9,525
B3379.6,OR,18.7,548
B3381.2,OR,14.5,426
B3381.4,OR,20.4,598
B3388.3,OR,17.6,516
W14184.5,OR,22.5,661
W14187.2,OR,20.7,606
W14NYQ29.5,OR,21.2,620
W14NYQ4.1,OR,20.3,596
W14NYQ9.2,OR,28.1,822
W15125.4,OR,26,763
W15200.3,OR,21.7,636
W15NYR11.13,OR,27.6,808
W15NYR11.8,OR,20.3,595
W15NYR5.2,OR,15.1,443
Atlantic,OR,20.3,596
Lamoka,OR,22,644
Pike,OR,17.5,514
Snowden,OR,25.3,742
NY166,OR,23.9,702
NY169,OR,33,966
NYQ106.13,OR,29.7,870
NYQ29.1,OR,28.1,824
NYQ38.4,OR,26.4,775
MSAA091.1,OR,19.3,566
MSAA217.3,OR,27,792
MSAA498.18,OR,15.6,458
MSAA513.01,OR,22.8,668
MSBB067.02,OR,17.5,513
MSBB131.1,OR,23.7,694
MSBB230.1,OR,26.6,781
MSBB611.03,OR,28.3,831
MSBB626.11,OR,35.4,1039
ND13220C.3,OR,28.4,832
AOR12197.4,OR,27.2,796
AOR13136.4,OR,30.1,882
COOR13270.2,OR,21.4,628
NYOR14Q9.5,OR,26.1,767
NYOR14Q9.9,OR,25.5,749
AF6200.4,OR,24.1,707.3472
MSAFB605.4,OR,29,848.9496
MSAFB609.12,OR,24.1,706.6824
MSAFB609.5,OR,25.4,743.2464
MSAFB635.15,OR,22.5,658.152
MSAFB635.3,OR,20.7,605.6328
W12078.76,OR,25.2,737.2632
Atlantic,OR,26.4,774.492
Lamoka,OR,21.9,642.1968
Pike,OR,18.5,541.1472
Snowden,OR,30.1,882.1896
NY166,OR,31.8,931.3848
NY169,OR,33.3,975.9264
NYQ106.13,OR,31.2,914.7648
NYQ29.1,OR,27,792.4416
NYQ38.4,OR,29.1,852.9384
MSAA091.1,OR,20,585.6888
MSAA217.3,OR,10.4,672.1128
