variety,yield_total,trial,sel.site
A00188.3C,14.4,2010_CA,Idaho
MSR127.2,21.4,2010_CA,Michigan
MSR148.4,23.8,2010_CA,Michigan
MSR169.8Y,13.4,2010_CA,Michigan
ND7799c.1,16.8,2010_CA,NorthDakota
NY148,18,2010_CA,NewYork
W8603.1,19,2010_CA,Wisconsin
MSQ089.1,19.6,2010_CA,Michigan
A01143.3C,23.9,2010_CA,Idaho
AC01151.5W,23.7,2010_CA,Colorado
AF4157.6,14.9,2010_CA,Maine
AC00206.2W,15,2010_CA,Colorado
MSK061.4,13.5,2010_CA,Michigan
MSQ035.3,10.6,2010_CA,Michigan
MSL007.B,15,2010_CA,Michigan
MSM246.B,19.5,2010_CA,Michigan
CO02033.1W,18.2,2010_CA,Colorado
CO02024.9W,13.5,2010_CA,Colorado
CO00270.7W,20.9,2010_CA,Colorado
MSS165.2Y,28.4,2010_FL,Michigan
ND7799c.1,28.7,2010_FL,NorthDakota
MSR169.8Y,22.5,2010_FL,Michigan
MSQ086.3,21.8,2010_FL,Michigan
MSQ035.3,19.4,2010_FL,Michigan
MSK061.4,28.3,2010_FL,Michigan
MSL007.B,23.6,2010_FL,Michigan
MSM246.B,10.9,2010_FL,Michigan
MSP270.1,19.4,2010_FL,Michigan
MSQ089.1,28,2010_FL,Michigan
MSR148.4,32.3,2010_FL,Michigan
MSR036.5,28.7,2010_FL,Michigan
MSR058.1,26.3,2010_FL,Michigan
MSR127.2,32,2010_FL,Michigan
MSR128.4Y,22.6,2010_FL,Michigan
W6822.3,22.8,2010_FL,Wisconsin
W8539.2Y,11.8,2010_FL,Wisconsin
W8587.4,16.8,2010_FL,Wisconsin
W8603.1,20.8,2010_FL,Wisconsin
W8615.5,32,2010_FL,Wisconsin
NY148,16.8,2010_FL,NewYork
MSH228.6,25.2,2010_FL,Michigan
A01143.3C,28.5,2010_FL,Idaho
AC00206.2W,23.9,2010_FL,Colorado
AC01151.5W,24.1,2010_FL,Colorado
AC03452.2W,16.5,2010_FL,Colorado
AF4157.6,22.1,2010_FL,Maine
A00188.3C,29.4,2010_FL,Idaho
CO00270.7W,24.6,2010_FL,Colorado
CO02024.9W,26.8,2010_FL,Colorado
CO02033.1W,30.5,2010_FL,Colorado
CO03243.3W,21.7,2010_FL,Colorado
ND7799c.1,16.7,2010_MI,NorthDakota
MSR058.1,20.2,2010_MI,Michigan
MSQ035.3,22.4,2010_MI,Michigan
MSQ089.1,22.4,2010_MI,Michigan
MSR036.5,15.8,2010_MI,Michigan
MSS165.2Y,17.3,2010_MI,Michigan
MSR127.2,22.9,2010_MI,Michigan
MSR128.4Y,13.8,2010_MI,Michigan
MSR148.4,23.7,2010_MI,Michigan
MSR169.8Y,17.1,2010_MI,Michigan
W6609.3,12.9,2010_MI,Wisconsin
W6822.3,23.2,2010_MI,Wisconsin
W8539.2Y,20.3,2010_MI,Wisconsin
W8587.4,10.2,2010_MI,Wisconsin
W8603.1,7.2,2010_MI,Wisconsin
W8615.5,12.4,2010_MI,Wisconsin
NY148,29.5,2010_MI,NewYork
MSP270.1,10.8,2010_MI,Michigan
A00188.3C,14,2010_MI,Idaho
A01143.3C,21.2,2010_MI,Idaho
AC00206.2W,11.5,2010_MI,Colorado
AC01151.5W,21.4,2010_MI,Colorado
AC03452.2W,18.3,2010_MI,Colorado
AF4157.6,12,2010_MI,Maine
MSM246.B,22.9,2010_MI,Michigan
CO00270.7W,16.5,2010_MI,Colorado
CO02024.9W,20.7,2010_MI,Colorado
CO02033.1W,22.8,2010_MI,Colorado
CO03243.3W,20.4,2010_MI,Colorado
MSH228.6,14.5,2010_MI,Michigan
MSK061.4,16.5,2010_MI,Michigan
MSL007.B,17.8,2010_MI,Michigan
ND7799c.1,12.2,2010_NC,NorthDakota
MSP270.1,1.3,2010_NC,Michigan
MSM246.B,5.3,2010_NC,Michigan
MSQ035.3,8.1,2010_NC,Michigan
MSQ086.3,17.5,2010_NC,Michigan
MSQ089.1,3.7,2010_NC,Michigan
MSR036.5,7.6,2010_NC,Michigan
MSR058.1,14.2,2010_NC,Michigan
MSR127.2,9.8,2010_NC,Michigan
MSR128.4Y,15.6,2010_NC,Michigan
MSR148.4,14.1,2010_NC,Michigan
MSR169.8Y,11,2010_NC,Michigan
MSS165.2Y,10.6,2010_NC,Michigan
W6822.3,15.6,2010_NC,Wisconsin
W8539.2Y,10.5,2010_NC,Wisconsin
