variety,total_weight,trial,program
A03921.2,364.07,2011_ID,Idaho
ND060735.4Russ,397.6,2011_ID,NorthDakota
ND060735.4Russ,420.06,2011_ND,NorthDakota
A03921.2,416,2011_ND,Idaho
A03921.2,735.95,2011_WA,Idaho
ND060735.4Russ,572.97,2011_WA,NorthDakota
A03921.2,771.7,2012_ID,Idaho
ND060735.4Russ,531.31,2012_ID,NorthDakota
AO02183.2,873.62,2012_ID,Idaho
ND060735.4Russ,169.88,2012_ME,NorthDakota
ND060735.4Russ,196.66,2012_ND,NorthDakota
AO02183.2,183.58,2012_ND,Idaho
A03921.2,154.55,2012_ND,Idaho
ND060735.4Russ,624.23,2012_WA,NorthDakota
AO02183.2,856.39,2012_WA,Idaho
A03921.2,800.02,2012_WA,Idaho
AO02183.2,266.26,2012_WI,Idaho
ND060735.4Russ,200.56,2012_WI,NorthDakota
A03921.2,252.65,2012_WI,Idaho
W9742.3rus,NA,2013_ID,Wisconsin
A06084.1TE,618.42,2013_ID,Idaho
AO06070.1KF,950.26,2013_ID,Idaho
ND060735.4Russ,314.43,2013_ID,NorthDakota
A03921.2,803.05,2013_ID,Idaho
AO06070.1KF,NA,2013_ME,Idaho
A03921.2,NA,2013_ME,Idaho
A06084.1TE,NA,2013_ME,Idaho
W9742.3rus,NA,2013_ME,Wisconsin
ND060735.4Russ,359.13,2013_ME,NorthDakota
ND060735.4Russ,59,2013_MI,NorthDakota
W9742.3rus,NA,2013_MI,Wisconsin
A06084.1TE,48,2013_MI,Idaho
A03921.2,56,2013_MI,Idaho
AO06070.1KF,52,2013_MI,Idaho
A03921.2,456.38,2013_ND,Idaho
A06084.1TE,326.81,2013_ND,Idaho
ND060735.4Russ,97.62,2013_ND,NorthDakota
W9742.3rus,NA,2013_ND,Wisconsin
AO06070.1KF,342.2,2013_ND,Idaho
A06084.1TE,628.33,2013_WA,Idaho
A03921.2,726.73,2013_WA,Idaho
ND060735.4Russ,667.79,2013_WA,NorthDakota
W9742.3rus,690.85,2013_WA,Wisconsin
AO06070.1KF,816.41,2013_WA,Idaho
AO06070.1KF,NA,2013_WI,Idaho
A03921.2,296.21,2013_WI,Idaho
A06084.1TE,267.71,2013_WI,Idaho
W9742.3rus,334.32,2013_WI,Wisconsin
ND060735.4Russ,208.91,2013_WI,NorthDakota
A03921.2,584.44,2014_ID,Idaho
A03921.2,514.76,2014_ID,Idaho
A06084.1TE,391.96,2014_ID,Idaho
A06084.1TE,393.69,2014_ID,Idaho
AW07791.2rus,438.99,2014_ID,Idaho
AW07791.2rus,518.24,2014_ID,Idaho
AF4953.6,493.85,2014_ID,Idaho
AF4953.6,465.12,2014_ID,Idaho
AF4950.2,566.15,2014_ID,Idaho
AF4950.2,532.18,2014_ID,Idaho
AF4953.6,315.81,2014_ME,Idaho
AF4950.2,338.79,2014_ME,Idaho
A03921.2,NA,2014_ME,Idaho
A06084.1TE,NA,2014_ME,Idaho
AW07791.2rus,250.71,2014_ME,Idaho
AF4953.6,388.39,2014_ND,Idaho
A03921.2,419.2,2014_ND,Idaho
AF4950.2,325.95,2014_ND,Idaho
A06084.1TE,321,2014_ND,Idaho
AW07791.2rus,286.14,2014_ND,Idaho
A06084.1TE,492.52,2014_WA,Idaho
A03921.2,462.8,2014_WA,Idaho
AW07791.2rus,808.73,2014_WA,Idaho
AF4950.2,927.63,2014_WA,Idaho
AF4953.6,439.73,2014_WA,Idaho
A03921.2,359.74,2014_WI,Idaho
AF4950.2,337.78,2014_WI,Idaho
AF4953.6,324.33,2014_WI,Idaho
AW07791.2rus,358.82,2014_WI,Idaho
A06084.1TE,308.36,2014_WI,Idaho
W9742.3rus,366.63,2015_ID,Wisconsin
W9850.5rus,448.18,2015_ID,Wisconsin
W9850.5rus,442.6,2015_ID,Wisconsin
AF4950.2,463.51,2015_ID,Idaho
W10074.16rus,372.2,2015_ID,Wisconsin
W9742.3rus,332.48,2015_ID,Wisconsin
AW06108.1rus,535.29,2015_ID,Idaho
W10074.16rus,537.38,2015_ID,Wisconsin
AW07791.2rus,349.21,2015_ID,Idaho
AF4953.6,575.03,2015_ID,Idaho
AW06108.1rus,389.63,2015_ID,Idaho
AW07773.1rus,319.93,2015_ID,Idaho
AW07773.1rus,400.78,2015_ID,Idaho
AW07781.1rus,351.3,2015_ID,Idaho
AW07781.1rus,363.84,2015_ID,Idaho
AW07791.2rus,480.23,2015_ID,Idaho
W10074.8rus,431.44,2015_ID,Wisconsin
W10039.2rus,570.14,2015_ID,Wisconsin
W10039.2rus,461.4,2015_ID,Wisconsin
W10074.3rus,608.48,2015_ID,Wisconsin
W10074.3rus,488.59,2015_ID,Wisconsin
W10074.8rus,484.42,2015_ID,Wisconsin
AF4950.2,451.66,2015_ID,Idaho
A06862.18VR,349.2,2015_ID,Idaho
AF4953.6,349.91,2015_ID,Idaho
A06084.1TE,283.69,2015_ID,Idaho
A06862.18VR,496.97,2015_ID,Idaho
A06084.1TE,370.8,2015_ID,Idaho
A03921.2,480.93,2015_ID,Idaho
A03921.2,489.99,2015_ID,Idaho
CO07049.1RU,417.52,2015_ID,Colorado
CO07049.1RU,425.88,2015_ID,Colorado
AOR08032.1,211.88,2015_ID,Idaho
AOR08032.1,306.69,2015_ID,Idaho
AOR07781.5,427.96,2015_ID,Idaho
AOR07781.5,411.23,2015_ID,Idaho
AF5179.4,356.86,2015_ID,Idaho
AF5091.2,161.71,2015_ID,Idaho
AF5091.2,245.34,2015_ID,Idaho
AF5179.4,404.96,2015_ID,Idaho
A03921.2,NA,2015_ME,Idaho
AF4950.2,358.16,2015_ME,Idaho
AF4950.2,413.33,2015_ME,Idaho
AF4953.6,355.25,2015_ME,Idaho
AF4953.6,359.12,2015_ME,Idaho
AF5091.2,282.17,2015_ME,Idaho
AF5091.2,265.71,2015_ME,Idaho
AF5179.4,486.42,2015_ME,Idaho
AF5179.4,317.49,2015_ME,Idaho
A03921.2,NA,2015_ME,Idaho
