state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
NorthCarolina,2005,54.1,54.5,58.9,71.9,75.3,84.4,91,89.5,85.4,72.4,67.2,52.3
NorthCarolina,2006,57.9,54.1,61.3,74.8,77.8,83.7,88.6,88.4,79.1,70.8,64.1,60.3
NorthCarolina,2007,57.1,50.2,66.1,70.6,77,85.6,87.5,91.3,85.3,80.8,63.5,60.1
NorthCarolina,2008,52.5,60.4,66.3,71.1,77.2,91.8,89.1,87.3,82.3,72.6,60.6,59.8
NorthCarolina,2009,50.3,55.5,59.4,71.9,78.6,85.2,85.5,89.5,80.2,72,64.5,54.6
NorthCarolina,2010,48.6,47.9,62.4,75.7,81.7,91.1,91.3,89.5,85.9,74.9,63.6,43.3
NorthCarolina,2011,46.9,57,63.1,73.9,79,88.9,91.8,88.6,82.8,72.1,68,59.7
NorthCarolina,2012,56,57.9,71.1,70.1,80.8,84.1,92.2,86.3,81.6,72.5,57.8,60.1
NorthCarolina,2013,53.7,52.4,55.1,71.4,76.9,85.3,87.4,85,81.5,72.1,62.1,57.2
NorthCarolina,2014,49,54.3,57.5,72.6,81.1,86.3,86.3,84.3,81.6,75.5,59,56.3
NorthCarolina,2015,50.9,44.8,61.2,71.8,80,88.6,89,87.5,82.7,72.5,66.9,66.7
NorthCarolina,2016,49.8,55,68.5,70.9,76.1,85.8,91.1,90,83.5,75.6,63.9,55.7
NorthCarolina,2017,54.2,64.3,62.4,76.5,78.5,85.1,89.5,86,81.9,76.2,63.2,52.9
NorthCarolina,2018,48.8,63.6,56.4,69.7,81.9,87.3,86.9,87,85.5,73.1,60.8,56.1
NorthCarolina,2019,52.9,58.7,60.3,74.5,86,86,90.3,86.5,84.6,75.5,58.5,57.7
NorthCarolina,2020,57.9,58.2,66.4,68.5,73.8,82.4,91,88,81.1,75.7,68.2,54.5
Texas,2005,49.4,52.9,57.5,68,75.6,89.8,94.4,86.8,84,72,65.3,51
Texas,2006,58.7,56.6,61.5,76.8,83.9,94.3,92.9,87,76.7,70.2,63.1,48.5
Texas,2007,40.5,51.5,66.4,65.3,77.6,85.9,91.1,94,85.9,77,61.4,46.5
Texas,2008,50.2,55.7,62.4,71.7,81.2,93,88.1,87.5,81.9,72.2,62.8,53.3
Texas,2009,54.5,60.4,65.5,69.7,77.6,89.1,91.9,89.9,81.3,65,63.7,45.1
Texas,2010,50.9,38,60.5,70.9,77.8,91.9,91.8,91.9,89.6,76.4,62.7,53.4
Texas,2011,50.9,52.9,67,76.2,82.5,97.6,99.8,96.9,83.6,73.7,61.1,41.8
Texas,2012,56.1,51.9,71.7,76,83.8,93.4,96.3,92.6,85.6,72.5,66.6,53.5
Texas,2013,49.2,51.1,64.5,68.5,82.7,94.2,90.6,91.3,85.1,72.7,57.1,47.2
