variety,location,year,trial,yield.standard
A00188-3C,MI,2011,MI_2011,33.4
A00188-3C,MI,2011,MI_2011,33.4
A00188-3C,ND,2011,ND_2011,NA
A00188-3C,ND,2011,ND_2011,NA
A00188-3C,NY,2011,NY_2011,34.97
A00188-3C,NY,2011,NY_2011,38.46
A00188-3C,MI,2012,MI_2012,36.43
A00188-3C,MI,2012,MI_2012,42.5
A00188-3C,ND,2012,ND_2012,NA
A00188-3C,ND,2012,ND_2012,NA
A00188-3C,NY,2012,NY_2012,48.96
A00188-3C,NY,2012,NY_2012,38.46
A00188-3C,OR,2012,OR_2012,60.72
A00188-3C,OR,2012,OR_2012,63.92
A00188-3C,WI,2012,WI_2012,62.13
A00188-3C,WI,2012,WI_2012,78.85
A00188-3C,MI,2013,MI_2013,45.54
A00188-3C,MI,2013,MI_2013,51.61
A00188-3C,NY,2013,NY_2013,38.46
A00188-3C,NY,2013,NY_2013,52.45
A00188-3C,OR,2013,OR_2013,83.09
A00188-3C,OR,2013,OR_2013,73.5
A00188-3C,WI,2013,WI_2013,62.13
A00188-3C,WI,2013,WI_2013,54.96
A00188-3C,MI,2014,MI_2014,45.54
A00188-3C,MI,2014,MI_2014,51.61
A00188-3C,NY,2014,NY_2014,48.96
A00188-3C,NY,2014,NY_2014,45.46
A00188-3C,OR,2014,OR_2014,108.02
A00188-3C,OR,2014,OR_2014,100.67
A00188-3C,TX,2014,TX_2014,65.06
A00188-3C,TX,2014,TX_2014,57.83
A00188-3C,WI,2014,WI_2014,50.18
A00188-3C,WI,2014,WI_2014,66.91
A00188-3C,CA,2015,CA_2015,NA
A00188-3C,MI,2015,MI_2015,46.76
A00188-3C,MI,2015,MI_2015,34
A00188-3C,NY,2015,NY_2015,37.77
A00188-3C,NY,2015,NY_2015,44.06
A00188-3C,OR,2015,OR_2015,91.4
A00188-3C,OR,2015,OR_2015,89.48
A00188-3C,WI,2015,WI_2015,68.1
A00188-3C,WI,2015,WI_2015,71.21
A01143-3C,CA,2011,CA_2011,90.98
A01143-3C,CA,2011,CA_2011,95.12
A01143-3C,FL,2011,FL_2011,25.81
A01143-3C,FL,2011,FL_2011,29.03
A01143-3C,MI,2011,MI_2011,39.47
A01143-3C,MI,2011,MI_2011,54.65
A01143-3C,MO,2011,MO_2011,27.32
A01143-3C,MO,2011,MO_2011,24.29
A01143-3C,NC,2011,NC_2011,26.99
A01143-3C,NC,2011,NC_2011,30.36
A01143-3C,ND,2011,ND_2011,NA
A01143-3C,ND,2011,ND_2011,NA
A01143-3C,NY,2011,NY_2011,45.46
A01143-3C,NY,2011,NY_2011,41.96
A01143-3C,CA,2012,CA_2012,33.09
A01143-3C,CA,2012,CA_2012,45.49
A01143-3C,FL,2012,FL_2012,19.35
A01143-3C,FL,2012,FL_2012,16.13
A01143-3C,MI,2012,MI_2012,42.5
A01143-3C,MI,2012,MI_2012,57.69
A01143-3C,MO,2012,MO_2012,NA
A01143-3C,MO,2012,MO_2012,36.43
A01143-3C,NC,2012,NC_2012,53.97
A01143-3C,NC,2012,NC_2012,53.97
A01143-3C,ND,2012,ND_2012,NA
A01143-3C,ND,2012,ND_2012,NA
A01143-3C,NY,2012,NY_2012,41.96
A01143-3C,NY,2012,NY_2012,38.46
A01143-3C,OR,2012,OR_2012,67.11
A01143-3C,OR,2012,OR_2012,76.7
A01143-3C,TX,2012,TX_2012,30.72
A01143-3C,TX,2012,TX_2012,32.77
A01143-3C,WI,2012,WI_2012,64.52
A01143-3C,WI,2012,WI_2012,69.3
A01143-3C,CA,2013,CA_2013,95.12
A01143-3C,CA,2013,CA_2013,70.31
A01143-3C,FL,2013,FL_2013,25.81
A01143-3C,MI,2013,MI_2013,94.12
A01143-3C,MI,2013,MI_2013,88.05
A01143-3C,MO,2013,MO_2013,57.69
A01143-3C,MO,2013,MO_2013,42.5
A01143-3C,NY,2013,NY_2013,45.46
A01143-3C,NY,2013,NY_2013,52.45
A01143-3C,OR,2013,OR_2013,95.88
A01143-3C,OR,2013,OR_2013,86.29
A01143-3C,TX,2013,TX_2013,28.67
A01143-3C,TX,2013,TX_2013,26.63
A01143-3C,WI,2013,WI_2013,86.02
A01143-3C,WI,2013,WI_2013,86.02
A01143-3C,MI,2014,MI_2014,81.97
A01143-3C,MI,2014,MI_2014,63.76
A01143-3C,NY,2014,NY_2014,52.45
A01143-3C,NY,2014,NY_2014,55.95
A01143-3C,OR,2014,OR_2014,125.6
A01143-3C,OR,2014,OR_2014,101.63
A01143-3C,TX,2014,TX_2014,32.53
A01143-3C,TX,2014,TX_2014,43.37
A01143-3C,WI,2014,WI_2014,78.85
A01143-3C,WI,2014,WI_2014,64.52
A01143-3C,CA,2015,CA_2015,NA
A01143-3C,MI,2015,MI_2015,67.7
A01143-3C,MI,2015,MI_2015,54.04
A01143-3C,NY,2015,NY_2015,53.15
A01143-3C,NY,2015,NY_2015,52.8
A01143-3C,OR,2015,OR_2015,152.76
A01143-3C,OR,2015,OR_2015,113.13
A01143-3C,WI,2015,WI_2015,109.2
A01143-3C,WI,2015,WI_2015,105.14
A03440-2C,CA,2012,CA_2012,57.9
A03440-2C,FL,2012,FL_2012,29.03
A03440-2C,MI,2012,MI_2012,33.4
A03440-2C,MO,2012,MO_2012,60.72
A03440-2C,NC,2012,NC_2012,37.11
A03440-2C,ND,2012,ND_2012,NA
A03440-2C,NY,2012,NY_2012,27.97
A03440-2C,OR,2012,OR_2012,73.5
A03440-2C,TX,2012,TX_2012,24.58
A03440-2C,WI,2012,WI_2012,74.07
A07117-2C,CA,2012,CA_2012,33.09
A07117-2C,FL,2012,FL_2012,12.9
A07117-2C,MI,2012,MI_2012,45.54
A07117-2C,MO,2012,MO_2012,45.54
A07117-2C,NC,2012,NC_2012,26.99
A07117-2C,ND,2012,ND_2012,NA
A07117-2C,NY,2012,NY_2012,17.48
A07117-2C,OR,2012,OR_2012,54.33
A07117-2C,TX,2012,TX_2012,69.64
A07117-2C,WI,2012,WI_2012,40.62
AC00206-2W,CA,2011,CA_2011,74.44
AC00206-2W,FL,2011,FL_2011,38.71
AC00206-2W,MI,2011,MI_2011,33.4
AC00206-2W,MO,2011,MO_2011,NA
AC00206-2W,NC,2011,NC_2011,47.23
AC00206-2W,ND,2011,ND_2011,NA
AC00206-2W,NY,2011,NY_2011,31.47
AC00206-2W,WI,2011,WI_2011,40.62
AC00206-2W,CA,2012,CA_2012,41.36
AC00206-2W,CA,2012,CA_2012,45.49
AC00206-2W,FL,2012,FL_2012,29.03
AC00206-2W,FL,2012,FL_2012,22.58
AC00206-2W,MI,2012,MI_2012,36.43
AC00206-2W,MI,2012,MI_2012,39.47
AC00206-2W,MO,2012,MO_2012,39.47
AC00206-2W,MO,2012,MO_2012,57.69
AC00206-2W,NC,2012,NC_2012,20.24
AC00206-2W,NC,2012,NC_2012,30.36
AC00206-2W,ND,2012,ND_2012,NA
AC00206-2W,ND,2012,ND_2012,NA
AC00206-2W,NY,2012,NY_2012,27.97
AC00206-2W,NY,2012,NY_2012,31.47
AC00206-2W,OR,2012,OR_2012,67.11
AC00206-2W,OR,2012,OR_2012,57.53
AC00206-2W,TX,2012,TX_2012,71.68
AC00206-2W,TX,2012,TX_2012,36.87
AC00206-2W,WI,2012,WI_2012,40.62
AC00206-2W,WI,2012,WI_2012,40.62
AC00206-2W,CA,2013,CA_2013,45.49
AC00206-2W,CA,2013,CA_2013,33.09
AC00206-2W,FL,2013,FL_2013,29.03
AC00206-2W,FL,2013,FL_2013,32.26
AC00206-2W,MO,2013,MO_2013,45.54
AC00206-2W,MO,2013,MO_2013,48.58
AC00206-2W,NC,2013,NC_2013,40.48
AC00206-2W,NC,2013,NC_2013,37.11
AC00206-2W,TX,2013,TX_2013,53.25
AC00206-2W,TX,2013,TX_2013,40.96
AC01151-5W,CA,2011,CA_2011,95.12
AC01151-5W,CA,2011,CA_2011,74.44
AC01151-5W,FL,2011,FL_2011,38.71
AC01151-5W,FL,2011,FL_2011,32.26
AC01151-5W,MI,2011,MI_2011,42.5
AC01151-5W,MI,2011,MI_2011,57.69
AC01151-5W,MO,2011,MO_2011,27.32
AC01151-5W,MO,2011,MO_2011,30.36
AC01151-5W,NC,2011,NC_2011,43.85
AC01151-5W,NC,2011,NC_2011,37.11
AC01151-5W,ND,2011,ND_2011,NA
AC01151-5W,ND,2011,ND_2011,NA
AC01151-5W,NY,2011,NY_2011,41.96
AC01151-5W,NY,2011,NY_2011,41.96
AC01151-5W,WI,2011,WI_2011,NA
AC01151-5W,WI,2011,WI_2011,NA
AC01151-5W,CA,2012,CA_2012,41.36
AC01151-5W,CA,2012,CA_2012,37.22
AC01151-5W,FL,2012,FL_2012,29.03
AC01151-5W,FL,2012,FL_2012,16.13
AC01151-5W,MI,2012,MI_2012,27.32
AC01151-5W,MI,2012,MI_2012,36.43
AC01151-5W,MO,2012,MO_2012,NA
AC01151-5W,MO,2012,MO_2012,57.69
AC01151-5W,NC,2012,NC_2012,50.6
AC01151-5W,NC,2012,NC_2012,43.85
AC01151-5W,ND,2012,ND_2012,NA
AC01151-5W,ND,2012,ND_2012,NA
AC01151-5W,NY,2012,NY_2012,31.47
AC01151-5W,NY,2012,NY_2012,34.97
AC01151-5W,OR,2012,OR_2012,79.9
AC01151-5W,OR,2012,OR_2012,70.31
AC01151-5W,TX,2012,TX_2012,65.54
AC01151-5W,TX,2012,TX_2012,51.2
AC01151-5W,WI,2012,WI_2012,74.07
AC01151-5W,WI,2012,WI_2012,57.35
AC03452-2W,CA,2011,CA_2011,86.85
AC03452-2W,FL,2011,FL_2011,51.61
AC03452-2W,MI,2011,MI_2011,48.58
AC03452-2W,MO,2011,MO_2011,NA
AC03452-2W,NC,2011,NC_2011,37.11
AC03452-2W,ND,2011,ND_2011,NA
AC03452-2W,NY,2011,NY_2011,41.96
AC03452-2W,WI,2011,WI_2011,66.91
AC03452-2W,CA,2012,CA_2012,57.9
AC03452-2W,CA,2012,CA_2012,57.9
AC03452-2W,FL,2012,FL_2012,29.03
AC03452-2W,FL,2012,FL_2012,19.35
AC03452-2W,MI,2012,MI_2012,42.5
AC03452-2W,MI,2012,MI_2012,60.72
AC03452-2W,MO,2012,MO_2012,NA
AC03452-2W,MO,2012,MO_2012,NA
AC03452-2W,NC,2012,NC_2012,40.48
AC03452-2W,NC,2012,NC_2012,37.11
AC03452-2W,ND,2012,ND_2012,NA
AC03452-2W,ND,2012,ND_2012,NA
AC03452-2W,NY,2012,NY_2012,52.45
AC03452-2W,NY,2012,NY_2012,41.96
AC03452-2W,OR,2012,OR_2012,83.09
AC03452-2W,OR,2012,OR_2012,83.09
AC03452-2W,TX,2012,TX_2012,63.49
AC03452-2W,TX,2012,TX_2012,32.77
AC03452-2W,WI,2012,WI_2012,76.46
AC03452-2W,WI,2012,WI_2012,95.58
AC03452-2W,CA,2013,CA_2013,57.9
AC03452-2W,CA,2013,CA_2013,45.49
AC03452-2W,FL,2013,FL_2013,25.81
AC03452-2W,FL,2013,FL_2013,35.48
AC03452-2W,MO,2013,MO_2013,63.76
AC03452-2W,MO,2013,MO_2013,54.65
AC03452-2W,NC,2013,NC_2013,37.11
AC03452-2W,NC,2013,NC_2013,37.11
AC03452-2W,TX,2013,TX_2013,32.77
AC03452-2W,TX,2013,TX_2013,45.06
AC05153-1W,CA,2011,CA_2011,49.63
AC05153-1W,FL,2011,FL_2011,38.71
AC05153-1W,MI,2011,MI_2011,33.4
AC05153-1W,MO,2011,MO_2011,NA
AC05153-1W,NC,2011,NC_2011,37.11
AC05153-1W,ND,2011,ND_2011,NA
AC05153-1W,NY,2011,NY_2011,24.48
AC05153-1W,WI,2011,WI_2011,52.57
AC05153-1W,CA,2012,CA_2012,37.22
AC05153-1W,CA,2012,CA_2012,33.09
AC05153-1W,FL,2012,FL_2012,19.35
AC05153-1W,FL,2012,FL_2012,12.9
AC05153-1W,MI,2012,MI_2012,30.36
AC05153-1W,MI,2012,MI_2012,30.36
AC05153-1W,MO,2012,MO_2012,NA
AC05153-1W,MO,2012,MO_2012,NA
AC05153-1W,NC,2012,NC_2012,37.11
AC05153-1W,NC,2012,NC_2012,30.36
AC05153-1W,ND,2012,ND_2012,NA
AC05153-1W,ND,2012,ND_2012,NA
AC05153-1W,NY,2012,NY_2012,20.98
AC05153-1W,NY,2012,NY_2012,38.46
AC05153-1W,OR,2012,OR_2012,51.13
AC05153-1W,OR,2012,OR_2012,57.53
AC05153-1W,TX,2012,TX_2012,59.4
AC05153-1W,TX,2012,TX_2012,40.96
AC05153-1W,WI,2012,WI_2012,47.79
AC05153-1W,WI,2012,WI_2012,47.79
AC05153-1W,CA,2013,CA_2013,24.81
AC05153-1W,CA,2013,CA_2013,28.95
AC05153-1W,FL,2013,FL_2013,16.13
AC05153-1W,FL,2013,FL_2013,22.58
AC05153-1W,MO,2013,MO_2013,51.61
AC05153-1W,MO,2013,MO_2013,30.36
AC05153-1W,NC,2013,NC_2013,43.85
AC05153-1W,NC,2013,NC_2013,40.48
AC05153-1W,TX,2013,TX_2013,20.48
AC05153-1W,TX,2013,TX_2013,26.63
AC10239-7W,CA,2016,CA_2016,52.52
AC10239-7W,FL,2016,FL_2016,18.06
AC10239-7W,MI,2016,MI_2016,48.88
AC10239-7W,NC,2016,NC_2016,33.36
AC10239-7W,NY,2016,NY_2016,46.86
AC10239-7W,OR,2016,OR_2016,68.39
AC10239-7W,TX,2016,TX_2016,24.94
AC10239-7W,WI,2016,WI_2016,70.49
Accumulator,CA,2011,CA_2011,90.98
Accumulator,CA,2011,CA_2011,119.93
Accumulator,FL,2011,FL_2011,29.03
Accumulator,FL,2011,FL_2011,29.03
Accumulator,MO,2011,MO_2011,30.36
Accumulator,MO,2011,MO_2011,30.36
Accumulator,NC,2011,NC_2011,33.73
Accumulator,NC,2011,NC_2011,37.11
Accumulator,CA,2012,CA_2012,74.44
Accumulator,CA,2012,CA_2012,66.17
Accumulator,FL,2012,FL_2012,22.58
Accumulator,FL,2012,FL_2012,19.35
Accumulator,MI,2012,MI_2012,51.61
Accumulator,MI,2012,MI_2012,54.65
Accumulator,MO,2012,MO_2012,91.08
Accumulator,MO,2012,MO_2012,78.94
Accumulator,NC,2012,NC_2012,57.35
Accumulator,NC,2012,NC_2012,53.97
Accumulator,ND,2012,ND_2012,NA
Accumulator,ND,2012,ND_2012,NA
Accumulator,NY,2012,NY_2012,48.96
Accumulator,NY,2012,NY_2012,48.96
Accumulator,OR,2012,OR_2012,86.29
Accumulator,OR,2012,OR_2012,67.11
Accumulator,TX,2012,TX_2012,45.06
Accumulator,TX,2012,TX_2012,45.06
Accumulator,WI,2012,WI_2012,66.91
Accumulator,WI,2012,WI_2012,102.75
Accumulator,CA,2013,CA_2013,37.22
Accumulator,CA,2013,CA_2013,62.03
Accumulator,FL,2013,FL_2013,29.03
Accumulator,FL,2013,FL_2013,35.48
Accumulator,MI,2013,MI_2013,75.9
Accumulator,MI,2013,MI_2013,63.76
Accumulator,MO,2013,MO_2013,57.69
Accumulator,MO,2013,MO_2013,63.76
Accumulator,NC,2013,NC_2013,57.35
Accumulator,NC,2013,NC_2013,43.85
Accumulator,NY,2013,NY_2013,59.45
Accumulator,NY,2013,NY_2013,59.45
Accumulator,OR,2013,OR_2013,118.25
Accumulator,OR,2013,OR_2013,99.07
Accumulator,TX,2013,TX_2013,45.06
Accumulator,TX,2013,TX_2013,40.96
Accumulator,WI,2013,WI_2013,88.41
Accumulator,WI,2013,WI_2013,88.41
AF4157-6,CA,2011,CA_2011,53.76
AF4157-6,CA,2011,CA_2011,70.31
AF4157-6,FL,2011,FL_2011,29.03
AF4157-6,FL,2011,FL_2011,25.81
AF4157-6,MI,2011,MI_2011,39.47
AF4157-6,MI,2011,MI_2011,39.47
AF4157-6,MO,2011,MO_2011,30.36
AF4157-6,MO,2011,MO_2011,NA
AF4157-6,NC,2011,NC_2011,30.36
AF4157-6,NC,2011,NC_2011,30.36
AF4157-6,ND,2011,ND_2011,NA
AF4157-6,ND,2011,ND_2011,NA
AF4157-6,NY,2011,NY_2011,38.46
AF4157-6,NY,2011,NY_2011,27.97
AF4157-6,CA,2012,CA_2012,33.09
AF4157-6,CA,2012,CA_2012,24.81
AF4157-6,FL,2012,FL_2012,25.81
AF4157-6,FL,2012,FL_2012,16.13
AF4157-6,MI,2012,MI_2012,33.4
AF4157-6,MI,2012,MI_2012,27.32
AF4157-6,MO,2012,MO_2012,NA
AF4157-6,MO,2012,MO_2012,30.36
AF4157-6,NC,2012,NC_2012,23.61
AF4157-6,NC,2012,NC_2012,37.11
AF4157-6,ND,2012,ND_2012,NA
AF4157-6,ND,2012,ND_2012,NA
AF4157-6,NY,2012,NY_2012,31.47
AF4157-6,NY,2012,NY_2012,34.97
AF4157-6,OR,2012,OR_2012,63.92
AF4157-6,OR,2012,OR_2012,44.74
AF4157-6,TX,2012,TX_2012,59.4
AF4157-6,TX,2012,TX_2012,51.2
AF4157-6,WI,2012,WI_2012,64.52
AF4157-6,WI,2012,WI_2012,57.35
AF4157-6,CA,2013,CA_2013,33.09
AF4157-6,CA,2013,CA_2013,33.09
AF4157-6,FL,2013,FL_2013,19.35
AF4157-6,FL,2013,FL_2013,19.35
AF4157-6,MI,2013,MI_2013,42.5
AF4157-6,MO,2013,MO_2013,51.61
AF4157-6,MO,2013,MO_2013,42.5
AF4157-6,NC,2013,NC_2013,43.85
AF4157-6,NC,2013,NC_2013,37.11
AF4157-6,NY,2013,NY_2013,52.45
AF4157-6,NY,2013,NY_2013,34.97
AF4157-6,OR,2013,OR_2013,60.72
AF4157-6,OR,2013,OR_2013,54.33
AF4157-6,TX,2013,TX_2013,61.44
AF4157-6,TX,2013,TX_2013,51.2
AF4157-6,WI,2013,WI_2013,45.4
AF4157-6,WI,2013,WI_2013,50.18
AF4442-4,CA,2011,CA_2011,62.03
AF4442-4,FL,2011,FL_2011,35.48
AF4442-4,MI,2011,MI_2011,39.47
AF4442-4,MO,2011,MO_2011,NA
AF4442-4,NC,2011,NC_2011,30.36
AF4442-4,ND,2011,ND_2011,NA
AF4442-4,NY,2011,NY_2011,27.97
AF4442-4,WI,2011,WI_2011,54.96
AF4442-4,CA,2012,CA_2012,37.22
AF4442-4,FL,2012,FL_2012,9.68
AF4442-4,MI,2012,MI_2012,57.69
AF4442-4,MO,2012,MO_2012,63.76
AF4442-4,NC,2012,NC_2012,43.85
AF4442-4,ND,2012,ND_2012,NA
AF4442-4,NY,2012,NY_2012,31.47
AF4442-4,OR,2012,OR_2012,73.5
AF4442-4,TX,2012,TX_2012,57.35
AF4442-4,WI,2012,WI_2012,64.52
AF4442-4,CA,2014,CA_2014,39.43
AF4442-4,CA,2014,CA_2014,30.04
AF4442-4,FL,2014,FL_2014,32.26
AF4442-4,FL,2014,FL_2014,38.71
AF4442-4,MI,2014,MI_2014,81.97
AF4442-4,MI,2014,MI_2014,42.5
AF4442-4,MO,2014,MO_2014,63.76
AF4442-4,MO,2014,MO_2014,69.83
AF4442-4,NC,2014,NC_2014,27.16
AF4442-4,NC,2014,NC_2014,24.15
AF4442-4,NY,2014,NY_2014,45.46
AF4442-4,NY,2014,NY_2014,45.46
AF4442-4,OR,2014,OR_2014,75.42
AF4442-4,OR,2014,OR_2014,76.06
AF4442-4,TX,2014,TX_2014,68.67
AF4442-4,TX,2014,TX_2014,97.59
AF4442-4,WI,2014,WI_2014,71.68
AF4442-4,WI,2014,WI_2014,83.63
AF4552-5,CA,2011,CA_2011,86.85
AF4552-5,FL,2011,FL_2011,29.03
AF4552-5,MI,2011,MI_2011,39.47
AF4552-5,MO,2011,MO_2011,NA
AF4552-5,NC,2011,NC_2011,30.36
AF4552-5,ND,2011,ND_2011,NA
AF4552-5,NY,2011,NY_2011,41.96
AF4552-5,WI,2011,WI_2011,54.96
AF4552-5,CA,2012,CA_2012,66.17
AF4552-5,FL,2012,FL_2012,16.13
AF4552-5,MI,2012,MI_2012,42.5
AF4552-5,MO,2012,MO_2012,81.97
AF4552-5,NC,2012,NC_2012,37.11
AF4552-5,ND,2012,ND_2012,NA
AF4552-5,NY,2012,NY_2012,45.46
AF4552-5,OR,2012,OR_2012,83.09
AF4552-5,TX,2012,TX_2012,59.4
AF4552-5,WI,2012,WI_2012,62.13
AF4552-5,CA,2013,CA_2013,41.36
AF4552-5,CA,2013,CA_2013,45.49
AF4552-5,FL,2013,FL_2013,22.58
AF4552-5,FL,2013,FL_2013,19.35
AF4552-5,MI,2013,MI_2013,33.4
AF4552-5,MI,2013,MI_2013,24.29
AF4552-5,MO,2013,MO_2013,51.61
AF4552-5,MO,2013,MO_2013,42.5
AF4552-5,NC,2013,NC_2013,47.23
AF4552-5,NC,2013,NC_2013,37.11
AF4552-5,NY,2013,NY_2013,34.97
AF4552-5,NY,2013,NY_2013,52.45
AF4552-5,OR,2013,OR_2013,89.48
AF4552-5,OR,2013,OR_2013,76.7
AF4552-5,TX,2013,TX_2013,59.4
AF4552-5,TX,2013,TX_2013,59.4
AF4552-5,WI,2013,WI_2013,62.13
AF4552-5,WI,2013,WI_2013,64.52
