state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
NorthCarolina,2005,34.1,34.8,38,48.4,53.8,65.4,72.3,70.7,65.9,54.5,43,32.3
NorthCarolina,2006,38.8,33,40.7,50.6,54.9,65,70.7,70.8,60.4,49.7,44.9,37.5
NorthCarolina,2007,36,29.6,40.9,47.3,56.2,65.2,67.8,69.8,62.2,56.7,39.9,37.8
NorthCarolina,2008,31.3,36.7,41.3,51.2,53.7,68.2,67.9,67.6,64.6,46.3,37.9,37.7
NorthCarolina,2009,28.3,32.3,39.1,47.7,57.6,65.5,65.6,70.2,62.3,49.5,45.9,34.7
NorthCarolina,2010,28.6,29.8,41.2,50.4,60,70.5,70.4,69.7,61.6,50.8,38.6,25.7
NorthCarolina,2011,27.3,32.9,39.3,51.5,57.4,66,70.7,69.4,65.2,49.2,44,38.7
NorthCarolina,2012,34.5,36.1,48.6,48.8,61.2,62.6,72.4,70.2,61.1,51.7,36.6,38.7
NorthCarolina,2013,35.3,33.6,35,49.1,57.3,67.1,71.7,67.6,59.4,53.1,38.4,35.1
NorthCarolina,2014,27,32.6,34.8,49.4,60.6,66.7,69.3,67.6,65.7,51.5,37.8,36.7
NorthCarolina,2015,30.9,25.5,39.6,50.2,59.5,69.7,70.8,67.7,66.4,53.4,48.4,49.3
NorthCarolina,2016,32.3,35.6,47.2,47.8,59.5,66.1,73.2,72.7,68.2,56.5,40.5,36.2
NorthCarolina,2017,37,39.7,39.3,55.3,60.5,67.1,71.8,69.9,64.4,54.6,39.9,34.5
NorthCarolina,2018,24.8,42.6,36.5,46.4,64.9,69.3,71.2,72.6,72.5,56.5,42.7,39.1
NorthCarolina,2019,34.7,39.7,40.2,52.9,64.3,67.5,72.1,71,67,56,39.7,38.2
NorthCarolina,2020,38.6,40.2,47.5,47.3,57,68,72.8,72.1,64.3,55.5,47.6,34.9
Texas,2005,24.5,28.1,28.3,36.8,48.9,56.6,61.7,61.1,55.4,40.9,27.4,19
Texas,2006,21,19.6,31,40.7,51.7,61,63.6,63.1,50.4,39.1,28.3,20.4
Texas,2007,17.8,21.5,33.4,36.5,49.2,57.2,61.2,63.7,55.8,41.5,26.3,20.3
Texas,2008,17.3,21.7,28,35.2,47.5,58.8,63,61,51.5,41.3,29.1,21.3
Texas,2009,19.5,25.4,30.7,38.6,48.3,57.6,61.6,60.3,51.1,37.8,30.2,15.8
Texas,2010,17.5,19,31.6,40.9,47.6,62,64.3,62.1,56.9,42.9,25.7,24.1
Texas,2011,16.6,17.9,30.1,38.3,45.1,60.8,66.5,66.5,53.5,41.6,29.5,21.6
Texas,2012,23.7,23.6,35.3,43.8,51.1,61.6,66.4,62.4,53.5,38.3,30.4,20.7
Texas,2013,22.5,24.2,30.6,33.5,48.2,62.5,64.9,63.5,57.5,38.9,29.5,18.5
Texas,2014,19.8,22.8,28.6,37.9,48.2,60.8,63.6,63,57.6,44.7,26.3,23.9
Texas,2015,24.2,24.6,33,39.8,48.5,61.1,65.9,63.3,59.2,48.3,30.1,25.2
Texas,2016,21.5,27,31.2,39.4,46.6,60.5,64.5,62.3,56.8,44.4,33.9,20.2
Texas,2017,24,27.1,33.2,42.3,46.1,59.5,64.5,61.2,54.5,42.7,34.7,20.3
Texas,2018,17,20.2,30.8,33.8,53.1,60.7,63,61.5,54.9,43.1,26.4,20.7
Texas,2019,22.5,19.7,29.1,38.3,46.1,55.8,64.2,63.8,59.4,35.6,26.5,23.1
Texas,2020,23.9,23.3,35.4,36.9,51.2,60.9,65.4,61.5,49.9,37.2,32.7,21.3
Colorado,2005,NA,14.2,17.3,24.4,33.7,38.7,45.8,44.5,38.6,29.3,16.4,3.6
Colorado,2006,5.3,7.2,17.5,24.7,34.8,42.6,48.4,45.8,32.7,26.5,14.6,5.9
Colorado,2007,-4.8,4.5,20.4,24.8,33,40.3,48.2,45.8,37,23.8,13.4,0.9
Colorado,2008,-7.5,0.9,12.7,19.6,30.1,38.3,45.4,43.7,36,25.5,15.1,3
Colorado,2009,2.3,8.9,17.6,21.7,34.6,38.9,44.8,41.2,36.2,21.9,15.6,0.5
Colorado,2010,2.5,3,14.5,25.2,29.6,41,46.7,44.8,38.1,27.3,9.2,11.6
Colorado,2011,2.3,4.5,16.2,22.6,30.1,39.2,47.8,46.9,38.6,28.9,16.4,-0.8
Colorado,2012,4.6,8.3,20.8,29.1,35.2,43.8,49.1,46.2,39.7,26.9,17.7,0.3
Colorado,2013,-6.4,5.3,16.5,25.4,36,45.8,50.8,50.1,43.2,28.7,18.3,2.6
Colorado,2014,4.8,15,23.3,27.5,35.9,43.7,50.4,46.8,42.5,32.6,19.4,15.1
Colorado,2015,12,17.7,25.7,27.8,35,45.2,48.6,47.7,43.3,34.2,18.4,10.4
Colorado,2016,5.6,17.4,20.9,27.5,34.3,46,49.4,46.5,38.3,30.8,22.5,11.2
Colorado,2017,10.2,19.5,25.8,28.4,34.3,46.2,51.3,47,40.6,27.4,25.3,13.7
Colorado,2018,13.3,15.3,18.6,28.3,37.7,46.7,51.3,46.9,41.8,30.9,17.3,11.5
Colorado,2019,4.9,9.2,23.5,28.8,32.7,41.5,48.4,47.5,41,21,15.3,2.8
Colorado,2020,-0.1,7.9,19.2,25.8,35.2,44.4,49.2,48.4,37.5,27.4,19.5,6.2
NorthDakota,2005,-9.5,0.2,13.4,33.5,41.6,57.2,57.9,53.4,46.8,34.2,20.3,9.3
NorthDakota,2006,14.1,-6.5,15.4,35.8,44.3,53.6,57.9,54.6,44.5,30.4,18.9,13.5
NorthDakota,2007,0.1,-6,17.3,28.4,44,55.5,58.7,53,45.3,36.1,19.6,-1.9
NorthDakota,2008,-6.2,-7,12.8,27.6,35.1,49.5,54.8,55.2,45.7,35.4,22.4,-8.8
NorthDakota,2009,-12.1,-0.2,13.4,31.6,37.7,49.6,53.4,53.5,51.7,33,24.9,-0.6
NorthDakota,2010,-0.2,-0.7,25.7,36.3,45.5,54.9,59.5,58.7,45.6,35.2,17.4,1.1
NorthDakota,2011,-8.7,-0.2,11.2,31.4,42.2,54.2,60.6,57.6,45.6,37.7,20.6,12.6
NorthDakota,2012,6.6,8.8,26.7,33.4,44.2,53.2,62.2,53.2,41.3,33.6,19.7,5.2
NorthDakota,2013,-1.3,1.9,3.5,24.6,42.5,54.9,57,54.4,49.7,33.1,14,-8.7
NorthDakota,2014,-11.7,-10.1,7.7,27.3,43.5,55.7,55.9,57.2,47.1,34.7,12,10.6
NorthDakota,2015,2.8,-6.6,18.9,29.8,40.4,53,59.3,54.1,49.3,36,24.3,12.4
NorthDakota,2016,2.8,14.1,26.4,30.5,44.5,54.1,58.5,56.2,49.1,37.4,31.7,5
NorthDakota,2017,4.5,11.5,18.7,32.9,43.2,54.3,58.6,53,48.2,34.3,15.3,2.3
NorthDakota,2018,1.7,-4.6,16.5,22.3,44.2,55.6,57.3,53.8,43.4,28.8,12.4,6.7
NorthDakota,2019,-7.6,-12,7.8,31.6,38.3,52.6,57.4,54.9,49.8,33.1,18.2,-1.1
NorthDakota,2020,0.2,-1.9,13.8,24.5,39.5,55.2,61.7,56.1,44,27.5,18.6,10.9
Idaho,2005,13,7.7,18,26.8,36.2,39.9,46.9,45.5,36.4,29.6,20,10.4
Idaho,2006,12.7,3.5,16.5,30.6,35.3,43.6,50.8,43.8,36.8,29.5,21.8,12.6
Idaho,2007,-2.1,16.4,23.3,29.1,35.5,41.5,52.8,47.3,39.2,30.6,20.8,9.5
Idaho,2008,0.4,11.4,11.8,19.2,34.1,39.2,45.9,42.7,35.5,26.4,25.4,8.1
Idaho,2009,7.8,10.8,17.5,28.8,34.3,42.9,46.6,44.9,39.5,26.1,17.5,5.8
Idaho,2010,10.2,8.5,17.6,25.7,31.5,43.5,43.5,44.7,36.9,32.9,19.8,16.4
Idaho,2011,7.7,2.6,20.9,25.6,34.7,39.5,45.7,45.4,37.5,29.9,14.9,3.7
Idaho,2012,9.5,11.5,21.8,30.1,33.9,39.7,54.8,49.6,42.4,30.2,27.7,17.1
Idaho,2013,2.5,12.5,19.8,28.1,40.9,47.2,53.9,52.3,48.6,29.2,23.5,5.6
Idaho,2014,10,16.8,25.6,28.8,38,46.2,54.1,53,45.3,33.3,19.4,19.4
Idaho,2015,13.2,23.1,25.4,30,41.4,48.9,51.4,49.2,41.7,37.1,19.4,8.6
Idaho,2016,17.2,17.6,27,33.6,43.2,46.4,47.7,46,41.8,37.2,28.5,5.5
Idaho,2017,3.6,20.2,30.9,31.4,37.7,46.6,52.1,48.4,40.9,26.4,26.9,12.5
Idaho,2018,16.9,17,22.2,33.9,43.5,46.6,52.5,47.1,40.7,32.7,21.4,12.9
Idaho,2019,14.8,15,20.9,34.6,40,44.6,53.3,50.1,45.1,25.2,25.3,17.5
Idaho,2020,20.2,10.8,28.3,24.4,37.1,46,47.3,48.9,39.3,28.6,19.9,8.6
Michigan,2005,14.9,22,21.1,38.6,44.1,62.8,62.1,62.2,55.1,43.2,32.1,22.1
Michigan,2006,27.8,19.8,27.5,39.2,48,56.6,64.3,61,51.2,38.3,33.9,29.4
Michigan,2007,21.3,12.1,30,35.7,50.7,59.2,60.7,63.7,54.5,48.9,31.2,23.8
Michigan,2008,20.6,15,25,38.8,44,59,62.2,59,54.9,40,32.3,19.7
Michigan,2009,10,19.9,27,37.3,47.2,57.8,57.3,59.6,53,40.9,35.9,23
Michigan,2010,20,22.1,30.6,41.6,51.9,60,66,65.3,53.8,42.9,32.5,22.8
Michigan,2011,15.6,18.3,25.6,37.6,50.5,59.4,67.1,62.3,52.1,41.9,35.5,29.3
Michigan,2012,22.3,25.3,40.8,37.5,51.8,58.3,67.4,59.7,51.7,42.1,31.5,28.5
Michigan,2013,20.9,17.3,24.3,35.7,51.4,58.5,62.7,59.5,52.9,43.6,30.7,20.8
Michigan,2014,10.7,10.3,17.3,36.2,48.6,60.7,58.5,61.1,51.5,41.5,27.7,26.5
Michigan,2015,14.5,4.7,22.6,36,50.5,56.8,60.2,60.6,56.9,43.1,36,33.1
Michigan,2016,20.2,22.5,31.4,36,49.3,58.4,63.6,63.7,56.9,45.6,37.2,23
Michigan,2017,23.9,26.3,27.1,41.7,47.1,58.5,62.2,58.3,53.8,45.9,31.4,17.8
Michigan,2018,17.7,22.5,25.4,30.8,54.2,60.7,63.7,63.6,56.6,41.8,30.1,27.1
Michigan,2019,15.5,18.4,23.6,38,47.5,56.9,65.4,60,57.8,42.2,28.7,26.7
Michigan,2020,26.4,21.2,29.7,34.3,46.8,57.3,65.5,60.9,51.5,38.1,35.5,26.9
