Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
FL,2011,110,268,414,579,708,889,943,1002,845,541,395,305,6999
FL,2012,201,331,508,575,746,823,968,922,828,669,245,299,7115
FL,2013,353,254,191,531,642,892,905,948,842,656,454,379,7047
FL,2014,126,232,299,544,715,847,944,970,838,628,272,307,6722
FL,2015,172,116,499,684,735,895,986,954,855,682,594,546,7718
FL,2016,158,203,490,558,736,912,1017,978,850,711,458,432,7503
FL,2017,392,356,429,610,788,876,1005,999,891,771,470,347,7934
FL,2018,183,469,330,548,749,927,966,982,955,779,476,312,7676
FL,2019,256,441,433,578,845,948,986,990,902,814,403,401,7997
FL,2020,340,335,613,616,727,883,1002,1002,914,808,617,214,8071
FL,2021,250,344,484,515,728,886,951,986,864,749,348,461,7566
FL,Mean,231,304,426,576,738,889,970,976,871,710,430,364,7486
NC,2011,8,99,132,437,651,905,1029,938,NA,355,213,101,NA
NC,2012,47,64,365,322,699,737,1021,897,672,397,36,121,5378
NC,2013,93,16,55,359,571,820,952,849,645,427,132,112,5031
NC,2014,13,44,102,369,688,836,877,833,726,455,103,33,5079
NC,2015,25,20,145,379,660,922,970,885,756,405,240,294,5701
NC,2016,23,85,332,339,576,814,1022,1021,809,513,165,41,5740
NC,2017,83,177,173,516,655,807,976,906,729,505,129,43,NA
NC,2018,34,203,74,293,770,895,926,952,892,NA,130,91,NA
NC,2019,51,101,113,454,808,821,1002,922,820,536,71,100,5799
NC,2020,118,139,289,312,521,793,1031,945,686,527,275,34,5670
NC,2021,8,43,255,376,589,812,930,969,734,559,109,203,5587
NC,Mean,46,90,185,378,653,833,976,920,747,468,146,107,5498
TX,2011,0,14,62,233,450,885,1034,991,562,272,39,0,4542
TX,2012,0,8,199,316,550,833,978,860,594,228,73,12,4651
TX,2013,9,0,86,174,500,857,867,855,646,209,26,4,4233
TX,2014,0,26,55,195,481,742,842,887,606,314,57,2,4207
TX,2015,12,35,98,212,356,783,931,853,742,357,63,17,4459
TX,2016,0,47,90,184,373,800,997,812,659,416,95,6,4479
TX,2017,9,55,139,237,389,796,940,715,570,290,130,5,4275
TX,2018,12,12,77,127,641,804,889,841,617,224,5,0,4249
TX,2019,0,8,53,206,333,646,939,933,760,175,30,3,4086
TX,2020,0,5,107,222,549,857,932,903,516,270,97,0,4458
TX,2021,0,5,39,148,434,759,812,852,670,268,53,14,4054
TX,Mean,4,20,91,205,460,797,924,864,631,275,61,6,4336
MI,2011,0,0,1,21,224,456,718,563,266,105,1,0,2355
MI,2012,0,0,128,26,281,492,761,NA,276,61,6,0,NA
MI,2013,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA
MI,2014,0,0,0,22,228,483,451,497,273,53,0,0,2007
MI,2015,0,0,NA,14,271,386,541,527,430,45,29,0,NA
MI,2016,0,0,NA,39,209,438,623,NA,401,146,10,0,NA
MI,2017,0,3,0,69,NA,NA,NA,470,368,143,0,NA,NA
MI,2018,0,0,0,0,353,474,624,NA,364,69,0,0,NA
MI,2019,0,0,0,32,136,360,646,489,375,48,0,0,2086
