Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
FL,2011,51.1,58.8,63,69.1,72.6,79.4,80.2,82.1,78,67.2,62.9,59.4,68.6
FL,2012,54.8,60.3,66.1,68.8,73.9,77.1,80.9,79.4,77.4,71.3,58,58.6,68.9
FL,2013,60.9,58.1,54.9,67.5,70.5,79.5,79,80.2,77.9,70.9,64.8,61.9,68.8
FL,2014,50.6,57.8,59.2,67.9,72.8,78,80.2,81,77.7,70,58.1,59.4,67.7
FL,2015,54.5,52.4,65.8,72.5,73.4,79.6,81.5,80.5,78.2,71.8,69.6,67.3,70.6
FL,2016,53,56,65.5,68.3,73.5,80.1,82.5,81.3,78.1,72.7,65.1,63.5,70
FL,2017,62.1,62.4,63.3,70.1,75.2,78.9,82.2,82,79.4,74.6,65.4,60.5,71.3
FL,2018,53,66.6,60.4,68.1,73.9,80.6,80.9,81.4,81.7,74.9,65.5,59.6,70.6
FL,2019,57.5,65.3,63.7,69.1,77,81.4,81.5,81.7,79.8,76.1,63.2,62.7,71.6
FL,2020,60.2,61.1,69.5,70.3,73.3,79.2,82,82.1,80.2,75.9,70.3,55.5,71.6
FL,2021,57.4,61.7,65.4,67,73.2,79.2,80.5,81.6,78.6,73.9,61.3,64.6,70.4
FL,Mean,55.9,60,63.4,68.9,73.6,79.4,81,81.2,78.8,72.7,64,61.2,70
NC,2011,38,48,51.6,64.2,70.7,79.8,82.9,80,74.1,60.7,56.2,49.3,63
NC,2012,46.9,47.1,60.7,60.4,72.4,74.4,82.6,78.7,72.1,62.3,47.5,50.7,63
NC,2013,45.5,43.3,46.7,61.6,68.1,77.1,80.4,77.2,71.2,63.3,50.4,48.1,61.1
NC,2014,38.9,44.2,48.1,61.9,72,77.6,78.1,76.6,74,64.4,48.2,46.1,60.8
NC,2015,41.9,36.4,51.8,62.4,71.1,80.6,81.1,78.4,75,62.6,56.8,58.1,63
NC,2016,41.4,46.1,59.2,60.8,68.4,77,82.7,82.6,76.7,66.3,53.5,45,63.3
NC,2017,47.1,54,51.5,67,70.9,77.6,81.3,78.9,74,66,52.4,43.8,63.7
NC,2018,37.7,54.7,47.7,59.2,74.5,79.6,79.6,80.4,79.6,65.7,51.6,47.9,63.2
NC,2019,43.9,50.5,51,64.5,75.8,77.1,82.1,79.5,77.1,67,49.5,49.2,63.9
NC,2020,48.9,50.7,58.8,59.9,66.6,76.2,82.9,80.2,72.6,66.7,58.3,44.9,63.9
NC,2021,42.4,44.1,56.5,62.1,68.8,76.8,79.8,81,74.3,67.8,50.7,53.8,63.2
NC,Mean,43,47.2,53.1,62.2,70.9,77.6,81.2,79.4,74.6,64.8,52.3,48.8,62.9
TX,2011,33.7,35.4,48.5,57.3,63.8,79.2,83.2,81.7,68.5,57.7,45.3,31.7,57.2
TX,2012,39.9,37.8,53.5,59.9,67.4,77.5,81.3,77.5,69.6,55.4,48.5,37.1,58.8
TX,2013,35.8,37.6,47.6,51,65.5,78.4,77.8,77.4,71.3,55.8,43.3,32.8,56.2
TX,2014,35.4,38.1,45.8,54.7,65.1,74.6,76.9,78.3,69.9,59.9,42.7,36.9,56.5
TX,2015,36.6,39.6,49.1,56.4,61.3,75.9,79.8,77.2,74.5,61,46.1,39.1,58.1
TX,2016,37.1,44.7,49.6,55.1,61.5,76.4,81.9,75.9,71.7,63.2,49.7,36,58.6
TX,2017,38.2,46,51.6,56.2,62.4,76.3,80.1,72.8,68.8,58.3,51.5,37.1,58.3
TX,2018,35.8,37.8,48.9,51.4,70.4,76.5,78.4,76.9,70.3,55.4,41.5,35.2,56.5
TX,2019,37.3,37.6,44.1,55.4,60.1,71.3,80.1,79.9,75.1,50.9,42.8,39.1,56.1
TX,2020,38.6,37.2,51,54.7,67.5,78.4,79.8,78.8,66.4,54.9,48.4,37,57.7
TX,2021,36.9,29.9,46,52.4,63.5,75.1,76,77.2,72.1,58.4,48,43,56.5
TX,Mean,36.8,38.3,48.7,55,64.4,76.3,79.6,77.6,70.7,57.4,46.2,36.8,57.3
MI,2011,18.3,20.4,27.1,42.5,56,64.9,72.9,67.9,58.2,48.4,38.8,31.6,45.6
MI,2012,25.8,28.3,45,44.4,58.6,66.1,74.2,65.4,58.8,46.1,35.3,29.9,48.2
MI,2013,22.5,17.9,NA,NA,NA,NA,NA,NA,NA,NA,34.6,20.7,23.9
MI,2014,13.8,13.6,19.8,42,55.2,65.9,64.4,65.8,58.7,47.2,31.1,28.2,42.1
MI,2015,16.2,8.1,28.7,43.1,57.8,62.6,67.2,66.8,64.1,48,40.7,35.9,44.9
MI,2016,22,26.4,37.1,41.5,55,64.4,69.9,70,63.1,51.1,41.9,25.4,47.3
MI,2017,24.7,29.9,31,47.8,53.6,65.2,69.1,64.9,61.9,52,34.4,20.9,46.3
MI,2018,20.8,23.9,31,34.5,60.8,65.6,70.6,69.4,61.7,45.6,31.2,28.4,45.3
MI,2019,16.8,19.7,26.5,42.9,52.3,61.7,70.6,65.5,62.3,46.1,30.2,28.5,43.6
MI,2020,27.1,23.8,35.1,40.3,55.2,65,73,68.9,57.4,43.5,39.6,28.9,46.5
MI,2021,24.9,16.9,36.7,45.2,53,67.5,68.9,70.7,60.3,54.7,35.4,29.9,47
MI,Mean,21.2,20.8,31.8,42.4,55.8,64.9,70.1,67.5,60.6,48.3,35.7,28,43.7
ND,2011,0.5,9.2,19.4,40.9,53.1,64.8,72.4,69.6,59.3,50.1,31.5,22.2,41.1
ND,2012,16.4,19,38,46.1,57.4,66.4,74.8,67.6,57.3,41.8,26.7,12.1,43.6
ND,2013,8.8,10.8,14.2,32,54.2,65.9,69.1,68.2,61.6,42.5,24.4,-0.1,37.6
ND,2014,1,0.4,17.8,37.3,54.6,65.4,67.4,68.1,59.5,46.1,20.7,17.9,38
ND,2015,12.5,4.1,30.9,44.4,53,65,70.6,67.4,62.4,48.1,33.5,19.9,42.7
ND,2016,10.9,21.5,36.1,40.7,58.3,65.5,69.7,68.7,60.1,47,40.8,13.1,44.4
ND,2017,11.9,19.9,27.5,44,56.2,66.5,71.4,66.4,60,46.6,24.1,11.4,42.2
ND,2018,10,5.8,24.3,33.2,60,68.1,70,67.6,55.3,38,19.5,15.1,38.9
ND,2019,2,-2.6,17.4,40.9,51.2,65.6,70.3,66.5,59.3,39.8,25,9.3,37.1
ND,2020,9.4,10,23.4,35.7,52.2,68.5,72.7,68.3,56.9,38.3,30.5,21,40.6
ND,2021,17.5,5.3,34.3,40.9,53.2,69.3,73,69.7,63,49.4,30.3,10.7,43.1
ND,Mean,9.2,9.4,25.8,39.6,54.8,66.5,71,68,59.5,44.3,27.9,13.9,40.8
NY,2011,20.2,22.2,31.1,45.8,58.5,66.1,71.9,67.5,63,50.2,44.9,33.2,47.9
NY,2012,27.7,31.9,45.2,43.3,61.6,65.3,72.3,68.8,60.6,51.4,36.8,33.9,49.9
NY,2013,26.7,23.8,30.5,44.4,57.6,64.4,71.3,65.7,57.7,51.5,35.7,27.7,46.4
NY,2014,17.7,18.4,24.5,43.4,56.4,65.1,67.8,64.4,59.8,51.4,35.3,31.7,44.7
NY,2015,16.6,10.1,24.7,42.8,61.6,63.7,67.3,67,65.2,48.2,43.1,40.5,45.9
NY,2016,24.2,27.4,38.4,40.7,55.3,64,70.7,71.8,62.9,51,40.8,28.6,48
NY,2017,28.9,32.6,28,49.4,54.2,64.3,68.6,65.4,61.2,54.7,37.3,25.3,47.5
NY,2018,19.6,30.1,28.6,38.3,60.2,63.2,70.5,70.5,64.1,48.4,34.1,30.5,46.5
NY,2019,21,25.9,29.1,44.8,54.8,63.2,71.1,66,59.7,50,34.1,28.7,45.7
NY,2020,29,26.5,37.6,40.6,54,64.9,72.7,69.5,59.1,49.7,42.9,30.5,48.1
NY,2021,25.7,21.9,35.6,44.8,54.3,67.3,68.1,70.7,62.3,55.7,37.3,34.3,48.2
NY,Mean,23.4,24.6,32.1,43.5,57.1,64.7,70.2,67.9,61.4,51.1,38.4,31.4,47.2
WI,2011,12.3,19.1,26.4,41.5,55.5,65.1,74.4,69.6,57.4,51.3,38.4,27.3,44.9
WI,2012,22.5,28.4,47.6,45.8,61.8,68.6,77.2,69.4,59.1,46.2,35.8,25.3,49
WI,2013,18.6,17,23.5,38.2,57.6,64.4,70.6,68.6,62.2,46.9,32,14.1,42.8
WI,2014,8.5,NA,NA,41.5,56,68.9,65.7,68.6,59.9,46.2,25.7,25,46.6
WI,2015,17.5,9.1,32.7,46.2,59.1,64.8,69.1,67.8,65.9,49.5,40.7,33.1,46.3
WI,2016,15.7,22.5,37.5,43.7,56.3,65.7,70.7,70.4,63.6,51.7,42.2,20.5,46.7
WI,2017,20.2,27.9,30.5,47.5,54.2,66.5,69.4,65.5,63.4,49.4,32.7,19,45.5
WI,2018,17.1,18.1,31.3,34.2,63.5,67.5,71.3,69.9,62.5,44.9,28.3,26,44.5
WI,2019,14.2,15.7,27.1,43.4,52.4,64.7,71.8,66.1,62.1,45.9,28.7,24.8,43.1
