Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
FL,2011,77,84,88,91,95,97,95,96,94,88,83,80,97
FL,2012,80,84,86,89,94,93,94,93,92,89,82,80,94
FL,2013,81,84,83,89,89,94,92,94,93,88,84,83,94
FL,2014,81,83,82,91,93,94,93,96,92,88,84,80,96
FL,2015,82,79,86,88,92,96,95,94,91,88,90,84,96
FL,2016,83,83,87,89,91,96,97,96,92,89,85,85,97
FL,2017,85,82,89,93,95,93,94,93,93,91,84,83,95
FL,2018,81,84,84,86,91,94,93,94,94,92,87,84,94
FL,2019,82,87,85,87,96,95,96,94,94,89,90,84,96
FL,2020,85,86,92,91,94,96,95,95,94,89,85,79,96
FL,2021,84,86,88,87,93,93,93,94,92,89,81,85,94
FL,Mean,82,84,86,89,93,95,94,94,93,89,85,82,95
NC,2011,69,82,84,87,100,98,102,98,92,86,83,76,102
NC,2012,71,79,84,88,93,101,101,91,93,83,78,76,101
NC,2013,78,66,78,87,90,97,94,96,91,89,81,81,97
NC,2014,75,77,79,87,93,95,97,93,96,88,77,74,97
NC,2015,75,71,83,84,90,100,96,96,92,84,81,81,100
NC,2016,70,76,87,88,89,94,99,97,93,87,82,77,99
NC,2017,75,82,82,89,92,93,98,96,90,90,81,72,98
NC,2018,74,82,81,83,93,99,98,95,94,92,84,73,99
NC,2019,76,82,81,87,98,97,100,94,94,98,76,77,100
NC,2020,74,79,89,83,88,93,98,94,95,85,81,71,98
NC,2021,62,82,85,87,95,93,93,96,91,89,79,79,96
NC,Mean,73,78,83,86,93,96,98,95,93,88,80,76,99
TX,2011,70,80,86,92,102,110,107,103,99,90,78,66,110
TX,2012,70,77,90,96,99,107,102,106,99,90,81,72,107
TX,2013,72,71,84,96,99,107,101,101,97,89,74,70,107
TX,2014,69,77,81,88,96,100,105,101,100,90,84,70,105
TX,2015,72,84,84,86,86,100,101,103,101,93,82,73,103
TX,2016,76,85,85,87,89,101,107,100,95,96,83,73,107
TX,2017,76,89,92,88,92,107,102,94,96,88,87,76,107
TX,2018,78,75,87,90,97,101,107,101,95,93,74,66,107
TX,2019,72,74,85,90,90,99,108,104,98,87,81,71,108
TX,2020,69,76,85,94,96,104,105,103,101,95,83,70,105
TX,2021,69,80,83,90,93,107,97,104,100,92,84,75,107
TX,Mean,72,79,86,91,94,104,104,102,98,91,81,71,107
MI,2011,51,51,63,81,88,94,94,91,88,80,63,52,94
MI,2012,55,52,85,72,89,94,97,90,88,77,68,62,97
MI,2013,54,42,52,74,85,87,95,88,90,78,61,53,95
MI,2014,42,45,54,78,85,87,86,85,83,67,57,48,87
MI,2015,41,35,62,75,85,81,90,90,89,72,72,58,90
MI,2016,42,56,68,81,85,88,92,90,90,76,68,50,92
MI,2017,44,60,64,78,84,86,90,86,93,78,58,57,93
MI,2018,53,57,60,70,92,93,94,91,88,81,55,49,94
MI,2019,45,46,60,79,78,86,93,87,83,75,49,57,93
MI,2020,47,45,58,68,90,90,94,90,82,76,74,48,94
MI,2021,39,48,69,78,85,90,92,89,82,77,63,60,92
MI,Mean,47,49,63,76,86,89,92,89,87,76,63,54,93
ND,2011,36,47,44,71,79,96,94,92,89,89,59,51,96
ND,2012,47,43,74,77,89,93,96,97,90,80,46,44,97
ND,2013,40,33,39,70,90,89,90,97,92,72,54,38,97
ND,2014,40,34,48,72,90,88,92,87,87,74,54,39,92
ND,2015,44,33,70,80,86,86,90,96,93,90,60,45,96
ND,2016,40,45,64,69,93,88,90,90,84,78,73,36,93
ND,2017,37,46,62,75,81,96,94,89,94,80,49,44,96
ND,2018,41,39,41,78,94,89,92,98,92,76,47,39,98
ND,2019,38,20,46,73,93,96,90,89,90,70,45,35,96
ND,2020,38,41,49,70,81,97,94,88,86,75,74,50,97
ND,2021,39,47,73,74,89,103,96,96,92,84,62,47,103
ND,Mean,40,39,55,74,88,93,93,93,90,79,57,43,96
NY,2011,51,59,60,83,85,92,98,87,89,80,71,53,98
NY,2012,55,58,77,87,89,92,95,92,89,75,70,67,95
NY,2013,59,41,55,72,88,90,92,85,91,82,66,64,92
NY,2014,50,46,54,80,84,86,89,83,86,77,67,57,89
NY,2015,54,38,51,77,87,87,88,88,91,75,75,65,91
NY,2016,53,62,75,75,90,88,91,92,89,80,72,54,92
NY,2017,58,73,65,80,89,90,85,86,89,82,64,51,90
NY,2018,62,69,56,69,85,92,94,90,91,80,62,61,94
NY,2019,51,61,65,75,86,87,91,85,85,86,68,53,91
NY,2020,63,55,69,66,90,88,95,91,85,79,76,52,95
NY,2021,42,52,73,78,89,93,87,89,83,79,65,62,93
NY,Mean,54,56,64,77,87,90,91,88,88,80,69,58,93
WI,2011,40,52,51,76,88,95,97,91,90,81,60,45,97
WI,2012,52,51,81,76,90,92,102,95,91,76,66,59,102
WI,2013,45,44,50,72,85,86,95,96,92,73,56,43,96
WI,2014,40,45,58,71,85,88,92,88,83,69,56,44,92
WI,2015,41,33,68,77,83,87,88,92,91,80,72,55,92
WI,2016,45,57,68,82,88,90,90,91,86,75,69,42,91
WI,2017,40,65,59,76,81,90,89,86,89,76,63,58,90
WI,2018,44,56,57,71,96,94,95,89,90,82,55,45,96
WI,2019,45,43,60,80,81,88,91,87,82,84,45,48,91
WI,2020,44,51,55,66,87,93,90,90,81,79,73,54,93
WI,2021,41,48,66,81,87,93,90,90,86,83,65,62,93
WI,Mean,43,50,61,75,86,91,93,90,87,78,62,50,94
CA,2011,64,76,82,88,97,107,106,104,102,91,79,65,107
CA,2012,82,81,81,98,97,108,106,110,104,100,86,73,110
CA,2013,74,76,86,93,100,107,110,108,105,91,85,71,110
CA,2014,79,81,85,93,100,110,108,107,105,97,84,75,110
CA,2015,69,85,93,94,100,106,107,109,104,100,85,73,109
CA,2016,73,82,83,92,99,108,111,107,105,92,89,73,111
CA,2017,76,75,90,90,104,110,107,112,111,94,84,69,112
CA,2018,75,81,86,94,100,105,108,106,101,89,81,69,108
CA,2019,72,73,82,96,91,108,110,108,102,91,82,74,110
CA,2020,66,83,85,92,105,105,108,107,105,97,87,74,108
CA,2021,71,75,88,94,102,110,111,106,108,94,75,77,111
CA,Mean,73,79,86,93,100,108,108,108,105,94,83,72,110
