Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
FL,2011,25,30,33,39,48,61,66,69,64,41,36,36,25
FL,2012,24,24,35,45,54,62,68,66,58,43,32,28,24
FL,2013,32,24,27,49,48,68,66,67,65,48,33,38,24
FL,2014,26,33,36,43,51,60,67,65,64,48,30,33,26
FL,2015,31,24,40,56,50,65,68,69,61,54,40,39,24
FL,2016,27,31,36,44,47,60,68,68,60,49,36,33,27
FL,2017,31,35,31,43,52,62,71,72,66,45,44,36,31
FL,2018,27,36,34,47,54,69,70,71,70,52,37,33,27
FL,2019,34,35,36,46,61,67,70,72,63,58,41,35,34
FL,2020,33,34,36,47,43,63,72,70,61,56,47,29,29
FL,2021,33,31,40,38,52,61,71,71,60,53,38,37,31
FL,Mean,29,31,35,45,51,63,69,69,63,50,38,34,27
NC,2011,13,20,28,35,45,55,60,62,57,31,29,27,13
NC,2012,16,21,27,35,47,52,69,63,48,40,24,25,16
NC,2013,18,18,23,33,40,59,64,54,51,31,21,21,18
NC,2014,7,22,18,34,48,48,59,61,56,41,18,26,7
NC,2015,14,9,21,36,43,58,63,59,51,34,28,28,9
NC,2016,18,17,29,28,45,54,69,62,61,40,24,20,17
NC,2017,12,26,24,35,44,55,58,59,54,39,27,18,12
NC,2018,-1,22,26,35,51,60,58,58,64,35,24,27,-1
NC,2019,18,26,26,34,46,54,64,62,52,41,26,25,18
NC,2020,25,22,25,34,36,57,68,67,49,45,30,25,22
NC,2021,22,26,28,32,43,55,63,65,53,43,25,26,22
NC,Mean,15,21,25,34,44,55,63,61,54,38,25,24,14
TX,2011,-1,-13,18,25,30,52,59,61,42,28,15,-1,-13
TX,2012,11,9,21,33,43,54,60,51,42,22,16,2,2
TX,2013,8,9,14,17,25,47,54,58,36,28,10,3,3
TX,2014,0,4,4,25,32,48,57,58,44,34,5,9,0
TX,2015,4,11,11,27,38,55,57,52,52,37,18,13,4
TX,2016,8,12,15,27,34,49,55,51,40,32,17,-8,-8
TX,2017,7,11,16,31,31,49,56,50,47,28,20,8,7
TX,2018,1,9,17,19,37,51,53,55,41,29,12,5,1
TX,2019,7,3,7,24,34,45,57,57,51,9,8,13,3
TX,2020,11,10,24,23,34,45,56,55,35,17,16,8,8
TX,2021,12,-11,13,24,38,48,57,54,42,28,18,6,-11
TX,Mean,6,5,15,25,34,49,56,55,43,27,14,5,0
MI,2011,-16,-7,-8,16,29,44,49,47,33,24,11,10,-16
MI,2012,-1,6,2,22,34,40,54,39,33,25,19,11,-1
MI,2013,-9,-12,4,25,51,NA,44,37,29,24,12,-8,-12
MI,2014,-11,-21,-20,20,30,39,45,42,37,25,2,9,-21
MI,2015,-16,-24,-9,18,30,36,46,48,38,27,13,20,-24
MI,2016,-2,-5,1,13,31,42,46,51,46,27,18,0,-5
MI,2017,-2,6,5,25,25,40,50,42,34,26,9,-14,-14
MI,2018,-13,-1,10,4,27,41,48,47,36,23,15,8,-13
MI,2019,-22,-18,-5,18,31,33,48,43,41,25,6,8,-22
MI,2020,7,3,14,19,25,36,53,46,30,22,16,11,3
MI,2021,2,-11,8,14,28,38,49,49,42,28,14,13,-11
MI,Mean,-8,-8,0,18,31,39,48,45,36,25,12,6,-12
ND,2011,-30,-23,-13,23,24,38,50,48,31,19,3,-3,-30
ND,2012,-17,-11,-8,19,32,38,52,41,25,17,0,-13,-17
ND,2013,-18,-19,-23,8,24,38,42,42,36,16,-13,-28,-28
ND,2014,-33,-29,-26,-6,25,44,46,45,33,12,-17,-17,-33
ND,2015,-21,-28,-15,13,27,41,43,40,29,23,3,-12,-28
ND,2016,-23,-9,5,15,23,42,40,45,36,25,16,-24,-24
ND,2017,-27,-12,-5,22,32,41,49,45,34,13,-9,-25,-27
ND,2018,-25,-20,0,2,24,45,47,41,23,9,-3,-19,-25
ND,2019,-35,-29,-17,18,22,36,43,44,40,17,0,-27,-35
ND,2020,-30,-28,-10,-5,18,45,52,46,31,15,5,-12,-30
ND,2021,-20,-27,-10,15,23,42,52,45,40,21,-1,-33,-33
ND,Mean,-25,-21,-11,11,25,41,47,44,33,17,-1,-19,-28
NY,2011,-15,-14,3,26,32,40,46,47,39,26,20,9,-15
NY,2012,-5,13,11,20,34,43,49,44,38,23,20,15,-5
NY,2013,-6,-1,12,17,26,37,44,45,31,25,5,-2,-6
NY,2014,-13,-13,-12,21,31,42,45,45,32,28,12,16,-13
NY,2015,-15,-22,-9,18,28,39,44,45,37,24,17,20,-22
NY,2016,-8,-12,10,-1,29,37,47,47,34,28,24,6,-12
NY,2017,1,12,-5,26,29,39,46,41,35,28,16,-3,-5
NY,2018,-9,1,3,17,29,40,44,49,39,29,-5,8,-9
NY,2019,-7,-14,-6,19,36,37,49,45,39,28,15,3,-14
NY,2020,4,-11,13,22,25,34,53,44,27,28,20,0,-11
NY,2021,-3,-8,4,15,30,39,46,45,43,32,16,14,-8
NY,Mean,-7,-6,2,18,30,39,47,45,36,27,15,8,-11
WI,2011,-22,-20,5,25,25,40,53,48,33,26,16,5,-22
WI,2012,-11,2,9,27,35,38,53,43,29,22,9,-9,-11
WI,2013,-18,-12,-6,16,26,39,45,41,35,23,2,-18,-18
WI,2014,-18,-19,-21,9,27,46,43,46,35,27,-4,-2,-21
WI,2015,-10,-16,-9,23,29,38,44,48,33,24,13,12,-16
WI,2016,-9,-12,-2,14,24,45,50,50,46,30,16,-14,-14
