Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
CA,2010,1.82,1.77,0.25,1.14,0.27,0,0,0,0,0.59,0.84,5.82
CA,2011,0.4,0.49,1.67,0.21,0.23,0.08,0.01,0,0,0.55,0.76,T
CA,2012,0.44,0.29,1.27,1.62,0,0,0.02,0,0,0.02,0.1,0.65
CA,2013,0.83,0.6,0.83,0.05,0.05,0,0,0,0,0.03,0.94,0.1
CA,2014,0.12,0.32,0.36,0.5,0.04,0,0,0,0.01,0.64,0.01,2.02
CA,2015,0.69,0.9,0.27,0.08,0.68,0,0.04,0,0.07,0.14,0.61,0.58
CA,2016,1.95,0.18,0.45,0.97,0.55,0,0,0,0,0.24,0.38,2.41
CA,2017,2.76,1.46,0.16,0.35,0.06,0,0,0,0.52,0,0.03,0.04
CA,2018,1.03,0.22,2.41,0.2,0.02,0,0,0,0,0,0.68,0.62
CA,2019,1.38,1.2,2.01,0.11,1.57,0.23,0,0,0.02,0,1.07,1.52
CA,2020,0.24,0.01,1.57,2.61,0.16,0.02,0,0,0,0,0.39,0.35
CA,2021,0.98,0.09,0.77,0.19,0,0.14,0,0,0,0.94,0.01,2.6
FL,2010,5.82,4.12,3.81,0.83,4.71,4.89,4.13,5.45,1.98,0.28,0.93,0.67
FL,2011,3.52,3.31,2.4,2.11,1.27,7.66,7.81,5.84,6.15,4.26,2.65,3.1
FL,2012,0.41,1.38,1.13,3.62,5.12,15.22,3.15,12.84,1.88,3.23,0.06,3.37
FL,2013,0.27,1.39,2.1,3.78,12.25,3.07,7.1,13.47,6.16,4.2,2.19,4.4
FL,2014,4.16,6.2,4.84,2.29,2.89,5.05,7.2,5.73,11.47,2.53,4.98,1.82
FL,2015,4.52,1.76,2.72,3.52,3.33,8,6.74,8.91,6.78,0.44,2.03,1.04
FL,2016,4.31,4.36,2.18,1.25,6.73,9.57,3.29,2.85,4.96,11.51,0.14,0.96
FL,2017,1.53,1.51,1.18,2.98,3.48,15.15,6.9,9.08,14.89,14.85,4.62,1.46
FL,2018,6.78,1.08,1.3,4.97,10.46,2.49,6.23,7.42,1.99,6.13,4.14,8.17
FL,2019,4.38,2.09,2.92,4.13,3.63,6.22,7.63,4.47,3.75,4.23,2.6,5.38
FL,2020,0.42,1.66,0.03,3.32,2.65,3.98,7.79,9.62,12.29,4.14,4.2,1.75
FL,2021,0.61,5.45,1.56,5.84,1.4,7.3,9.89,5.9,4.98,1.79,3.53,3.35
MI,2010,0.85,1.8,1.17,3.81,3.8,8.04,4.66,1.74,2.8,2.61,2.81,1.78
MI,2011,1.31,2.96,4.01,7.19,4.54,3.34,6.87,4.42,2.23,3.13,2.5,2.59
MI,2012,3.2,2,3.14,3.09,2.72,2.17,2.56,3.34,1.97,6.32,0.49,2.85
MI,2013,4.01,3.05,0.94,11.1,3.59,4.52,3.21,1.9,1.25,5.46,3.75,2.7
MI,2014,3.41,2.35,1.54,2.62,3.31,5.15,4.42,3.68,3.1,4.98,4.11,1.57
MI,2015,1.87,1.17,1.05,4.07,3.47,4.03,2.23,3.75,2.26,3.27,2.61,3.33
MI,2016,2.15,2.78,4.94,3.92,3.01,1.15,5.62,7.97,2.4,6.15,3.24,2.96
MI,2017,3.51,2.05,3.27,6.27,1.5,4.88,1.12,1.72,0.66,9.69,2.8,1.96
