"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","plot_number","partner_id","partner_location_id","date_planting","date_harvest","date_vinekill","breeder_merit_score","field_merit","field_comments","yield_total","specific_gravity","vine_maturity","tuber_flesh_color","tuber_shape","tuber_appearance","tuber_defects","tuber_flesh_oxidation","tuber_heat_sprouts","yield_no1","yield_total_cwt","yield_no1_percent","size_b","size_a","oversize","pickouts","hollow_heart","vascular_discoloration","heat_necrosis","brown_center","black_spot_bruise","black_spot_bruise_per_tuber","plant_vigor","disease_reaction","date_processed_otf","sfa_chip_color_otf","stem_end_browning_otf","date_processed_3mo","sfa_chip_color_3mo","stem_end_browning_3mo","date_processed_6mo","sfa_chip_color_6mo","stem_end_browning_6mo","process_comments","fry_color","total_glycoalkaloids","after_cooking_darkening","color_scale","color_instrument"
"Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","General","General","General","General","General","General","General","General","General","Growth Descriptors","Growth Descriptors","Growth Descriptors","Tuber Phenotypes","Tuber Phenotypes","Tuber Phenotypes","Tuber Phenotypes","Tuber Phenotypes","Tuber Phenotypes","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Process Data","Process Data","Process Data","Process Data","Process Data","Process Data","Process Data","Process Data","Process Data","Process Data","Process Data","Process Data","Process Data","Process Data","Process Data"
"Year","Trial Group","Trial Blocks","Trial","Variety","Variety Tag","ID","REP","SPL","Check","Plot","Partner","Partner Location","Planting Date","Harvest Date","VineKill Date","Merit","Field Merit","Field Comments","Total Weight","Specific Gravity","Vine Maturity","Tuber Flesh&nbsp;Color","Tuber Shape","Tuber Appearance","Tuber Defects","Tuber Flesh&nbsp;Oxidation","Tuber Heat&nbsp;Sprouts","Yield No1","Yield Total","Yield No1 Percent","Size B","Size A","Oversize","Pickouts","Hollow Heart","Vascular Discoloration","Heat Necrosis","Brown Center","Black&nbsp;Spot Bruise","Black&nbsp;Spot Bruise Tuber","Plant Vigor","Disease Reaction","Date Processed OTF","SFA Chip Color OTF","Stem&nbsp;End Browning OTF","Date Processed 3Mo","SFA Chip Color 3Mo","Stem&nbsp;End Browning 3Mo","Date Processed 6Mo","SFA Chip Color 6Mo","Stem&nbsp;End Browning 6Mo","Process Comments","Fry Color","Total Glycoalkaloids","After&nbsp;Cooking Darkening","Color Score","Color Instrument"
"","","","","","","","","","","","","","","","","1-4","1-4","","","1.###","1-9","1-12","1-5","1-9","","","","","","%","%","%","%","%","%","%","%","%","%","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," YYYY-MM-DD "," YYYY-MM-DD "," YYYY-MM-DD ","","","","3 digits and a tenth","SG=(air)/(air-water)","","","","","","","","US#1","","","< 1 7/8""","1 7/8"" - 3.25""","> 3.25""","Pickouts / Culls","","","","","","","",""," YYYY-MM-DD ","",""," YYYY-MM-DD ","",""," YYYY-MM-DD ","","","","","","","Chip color taken with defective chips included in sample.  AGTRON values preferred.","Agtron or Hunter"
"2021","NCPT","CA","2021 NCPT CA","Atlantic","","1","1","1","","","","","2021-02-02","2021-06-02","","2","3","lumpy, growth cracks","18.1","1.087","","","3","5","","","","","442","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Atlantic","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1.5","","","","","","","","heat necrosis","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Atlantic","","1","2","1","","","","","2021-02-02","2021-06-02","","2","3","","16.1","1.091","","","3","7","","","","","394","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Atlantic","","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1.5","","","","","","","","stem end, vascular","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Atlantic","","1","3","1","","","","","2021-02-02","2021-06-02","","2","2","lumpy, large","19.2","1.094","","","3","6","","","","","469","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","NCPT","CA","2021 NCPT CA","Atlantic","","1","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-06-02","1.5","","","","","","","","heat necrosis","","","","",""
