"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","partner_id","partner_location_id","date_planting","date_harvest","date_vinekill","breeder_merit_score","field_merit","field_comments","yield_total","specific_gravity","vine_maturity","tuber_flesh_color","tuber_shape","tuber_appearance","tuber_defects","tuber_flesh_oxidation","tuber_heat_sprouts","yield_no1","yield_total_cwt","yield_no1_percent","size_a","oversize","pickouts","hollow_heart","vascular_discoloration","size_b","heat_necrosis","brown_center","black_spot_bruise","plant_vigor","black_spot_bruise_per_tuber","disease_reaction"
"Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","General","General","General","General","General","General","General","General","Growth Descriptors","Growth Descriptors","Growth Descriptors","Tuber Phenotypes","Tuber Phenotypes","Tuber Phenotypes","Tuber Phenotypes","Tuber Phenotypes","Tuber Phenotypes","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data"
"Year","Trial Group","Trial Block","Trial","Variety","Variety Tag","ID","REP","SPL","Check","Partner","Partner Location","Planting Date","Harvest Date","VineKill Date","Merit","Field Merit","Field Comments","Total Weight","Specific Gravity","Vine Maturity","Tuber Flesh&nbsp;Color","Tuber Shape","Tuber Appearance","Tuber Defects","Tuber Flesh&nbsp;Oxidation","Tuber Heat&nbsp;Sprouts","Yield No1","Yield Total","Yield No1 Percent","Size A","Oversize","Pickouts","Hollow Heart","Vascular Discoloration","Size B","Heat Necrosis","Brown Center","Black&nbsp;Spot Bruise","Plant Vigor","Black&nbsp;Spot Bruise Tuber","Disease Reaction"
"","","","","","","","","","","","","","","","1-4","1-4","","kg","1.###","1-9","1-12","1-5","1-9","","","","cwt/A","cwt/A","","","","","","","","","","","","",""
"","","","","","","","","","","",""," YYYY-MM-DD "," YYYY-MM-DD "," YYYY-MM-DD ","","","","3 digits and a tenth","SG=(air)/(air-water)","","","","","","","","US#1","","","1 7/8"" - 3.25""","> 3.25""","Pickouts / Culls","","","< 1 7/8""","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","A-3","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR169-8Y","","","","1","","","","","","","2","","","11.7","1.098","","","2","8","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR058-1","","","","1","","","","","","","2","","","15.7","1.092","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR109-1","","","","1","","","","","","","2","","","8.5","1.083","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR127-2","","","","1","","","","","","","2","","","20.9","1.096","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR127-2","","","","1","","","","","","","2","","","20.1","1.101","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR128-4Y","","","","1","","","","","","","3","","","14.7","1.093","","","2","4","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR128-4Y","","","","1","","","","","","","","","","","0.99","","","","","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR131-2","","","","1","","","","","","","4","","","7.4","1.09","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR148-4","","","","1","","","","","","","2","","","23","1.084","","","3","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR148-4","","","","1","","","","","","","2","","","17.1","1.083","","","3","7","Necrosis","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR157-1Y","","","","1","","","","","","","2","","","16.5","1.097","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR159-02","","","","1","","","","","","","2","","","14.9","1.094","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR169-8Y","","","","1","","","","","","","2","","","11.3","1.096","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSS165-2Y","","","","1","","","","","","","2","","","19.7","1.102","","","2","6","Hollow heart","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR057-4","","","","1","","","","","","","2","","","12.4","1.079","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSS165-2Y","","","","1","","","","","","","3","","","19.3","1.104","","","2","5","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSS297-3","","","","1","","","","","","","2","","","13.8","1.083","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSS483-1","","","","1","","","","","","","2","","","14.1","1.08","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSS927-1","","","","1","","","","","","","2","","","14.8","1.093","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","ND060838C-3","","","","1","","","","","","","3","","","19.5","1.097","","","3","5","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","ND060838C-5","","","","1","","","","","","","3","","","17.6","1.086","","","2","6","Hollow heart","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","ND060839C-7","","","","1","","","","","","","2","","","19.6","1.089","","","3","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","ND060847CB-1","","","","1","","","","","","","1","","","20.1","1.081","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","ND071031B-2Y","","","","1","","","","","","","2","","","18.8","1.075","","","3","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","ND071184B-2","","","","1","","","","","","","3","","","14.3","1.089","","","4","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","ND071215CB-1","","","","1","","","","","","","2","","","18","1.089","","","3","7","Hollow heart","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","ND071280B-11","","","","1","","","","","","","3","","","13.9","1.084","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","ND071280B-9","","","","1","","","","","","","3","","","16.6","1.088","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR058-1","","","","1","","","","","","","3","","","14.8","1.092","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSR036-5","","","","1","","","","","","","3","","","12.3","1.091","","","3","5","Necrosis","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","ND7550c-1","","","","1","","","","","","","3","","","18.4","1.087","","","4","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSL007-B","","","","1","","","","","","","3","","","5.3","1.093","","","2","5","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","CO05061-6W","","","","1","","","","","","","2","","","18.5","1.092","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","CO05061-7W","","","","1","","","","","","","2","","","14.3","1.088","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","COTX02377-1W","","","","1","","","","","","","3","","","12.2","1.083","","","2","5","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","COTX03270-1W","","","","1","","","","","","","3","","","11.5","1.091","","","4","5","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","Elkton","","","","1","","","","","","","1","","","15.7","1.095","","","3","8","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","Elkton","","","","1","","","","","","","2","","","17.5","1.1","","","3","8","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","Manistee","","","","1","","","","","","","3","","","12.3","1.089","","","1","5","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSH228-6","","","","1","","","","","","","4","","","18.8","1.096","","","3","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSK061-4","","","","1","","","","","","","3","","","9.8","1.094","","","3","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSK061-4","","","","1","","","","","","","3","","","9.4","1.092","","","3","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSK409-1","","","","1","","","","","","","3","","","10.8","1.106","","","3","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSK409-1","","","","1","","","","","","","3","","","9.8","1.11","","","4","5","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSL007-B","","","","1","","","","","","","3","","","6.4","1.087","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSM102-A","","","","1","","","","","","","4","","","3","","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSQ279-1","","","","1","","","","","","","2","","","18.6","1.087","","","3","8","Growth Cracks","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSM108-A","","","","1","","","","","","","3","","","14.4","1.1","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSM246-B","","","","1","","","","","","","2","","","12.8","1.101","","","2","8","Hollow heart","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSM246-B","","","","1","","","","","","","2","","","17.8","1.103","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSN191-2Y","","","","1","","","","","","","2","","","14.7","1.093","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSP459-5","","","","1","","","","","","","3","","","13.9","1.1","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSQ035-3","","","","1","","","","","","","3","","","15.6","1.094","","","3","5","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSQ070-1","","","","1","","","","","","","2","","","13.2","1.109","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSQ086-3","","","","1","","","","","","","2","","","12.1","1.087","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSQ089-1","","","","1","","","","","","","2","","","16.4","1.093","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSQ089-1","","","","1","","","","","","","2","","","18.5","1.092","","","2","5","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSQ130-4","","","","1","","","","","","","2","","","18.2","1.084","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSQ130-4","","","","1","","","","","","","2","","","17.3","1.087","","","2","6","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","MSQ131-A","","","","1","","","","","","","1","","","17.5","1.084","","","2","8","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","ND7381B-17","","","","1","","","","","","","3","","","18.1","1.083","","","3","5","Hollow heart","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","ND7799c-1","","","","1","","","","","","","2","","","11.3","1.086","","","2","7","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","CO03243-3W","","","","1","","","","","","","1","","","18.7","1.093","","","2","8","","","","","","","","","","","","","","","","","",""
"2011","NCPT","CA","2011 NCPT CA","W8867-5","","","","1","","","","","","","2","","","18.1","1.091","","","2","7","Necrosis","","","","","","","","","","","","","","","","",""
