Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FL,2010,61.7,60.6,68.6,79.9,86.8,92.6,91.6,91.4,88.3,83.7,75.5,60.2
FL,2011,63.8,70.6,76.7,83.7,86.4,91.8,89.8,91.9,87.6,78.5,73.9,70.5
FL,2012,68.3,71.3,78.7,81.7,84.9,86.2,91.1,87.7,86.5,80.7,69.8,69.7
FL,2013,72.6,70.1,69.6,78.9,81.5,88.5,87.7,88.8,86.6,80.6,74.1,72.7
FL,2014,61.2,68.1,70.5,80,84.4,88.6,89.6,90.1,85.6,81.8,69.2,70.3
FL,2015,65.2,64.6,76.9,82.6,84.2,90.3,91.1,89.5,85.9,81.3,79.5,76.7
FL,2016,63.3,68.6,77.7,80.3,85.1,90.4,93.2,90.9,87.3,82.4,77.6,75.2
FL,2017,74.8,76.4,76.8,82.9,87.7,86.9,90.5,89.4,87.6,82.7,76.7,71.4
FL,2018,64.5,77.1,73.9,78.8,82.9,89.4,88.9,89.9,90.1,84.2,75.7,70.1
FL,2019,69.1,75.7,74.8,80.4,87.1,89.9,90.2,89.4,88.3,84.8,74.3,73.3
FL,2020,72.1,72.9,82,81.7,84.9,88.3,90.7,90.6,87.4,84.1,79.2,68.3
FL,2021,68.9,73.6,75.9,78.4,84.6,87.5,88.1,89.3,86.9,84,72.6,76.6
NC,2010,48.6,47.9,62.4,75.7,81.7,91.1,91.3,89.5,85.9,74.9,63.6,43.3
NC,2011,46.9,57,63.1,73.9,79,88.9,91.8,88.6,82.8,72.1,68,59.7
NC,2012,56,57.9,71.1,70.1,80.8,84.1,92.2,86.3,81.6,72.5,57.8,60.1
NC,2013,53.7,52.4,55.1,71.4,76.9,85.3,87.4,85,81.5,72.1,62.1,57.2
NC,2014,49,54.3,57.5,72.6,81.1,86.3,86.3,84.3,81.6,75.5,59,56.3
NC,2015,50.9,44.8,61.2,71.8,80,88.6,89,87.5,82.7,72.5,66.9,66.7
NC,2016,49.8,55,68.5,70.9,76.1,85.8,91.1,90,83.5,75.6,63.9,55.7
