Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FL,2010,38,39,44.7,53.5,65.2,70,71.8,74.1,68.7,55.5,48.3,32.5
FL,2011,38.5,46.9,49.3,54.4,58.7,67,70.6,72.3,68.3,55.9,51.9,48.4
FL,2012,41.3,49.2,53.5,55.9,62.9,68,70.7,71.1,68.2,61.9,46.2,47.5
FL,2013,49.2,46.2,40.2,56,59.6,70.4,70.3,71.6,69.1,61.2,55.5,51
FL,2014,40,47.4,48,55.7,61.2,67.4,70.8,72,69.7,58.3,47.1,48.5
FL,2015,43.8,40.3,54.7,62.4,62.7,69,71.9,71.5,70.6,62.4,59.7,57.8
FL,2016,42.8,43.5,53.4,56.3,61.8,69.9,71.8,71.7,68.9,63,52.5,51.9
FL,2017,49.3,48.5,49.9,57.4,62.6,71,73.8,74.5,71.1,66.6,54.1,49.6
FL,2018,41.5,56,47,57.3,64.9,71.8,72.8,72.9,73.2,65.7,55.3,49
FL,2019,46,55,52.6,57.7,66.9,72.8,72.9,74.1,71.3,67.4,52.1,52
FL,2020,48.4,49.3,57,58.8,61.6,70,73.4,73.6,73,67.6,61.4,42.6
FL,2021,45.9,49.8,54.8,55.6,61.9,70.9,72.9,73.9,70.2,63.8,50.1,52.5
NC,2010,28.6,29.8,41.2,50.4,60,70.5,70.4,69.7,61.6,50.8,38.6,25.7
NC,2011,27.3,32.9,39.3,51.5,57.4,66,70.7,69.4,65.2,49.2,44,38.7
NC,2012,34.5,36.1,48.6,48.8,61.2,62.6,72.4,70.2,61.1,51.7,36.6,38.7
NC,2013,35.3,33.6,35,49.1,57.3,67.1,71.7,67.6,59.4,53.1,38.4,35.1
NC,2014,27,32.6,34.8,49.4,60.6,66.7,69.3,67.6,65.7,51.5,37.8,36.7
NC,2015,30.9,25.5,39.6,50.2,59.5,69.7,70.8,67.7,66.4,53.4,48.4,49.3
NC,2016,32.3,35.6,47.2,47.8,59.5,66.1,73.2,72.7,68.2,56.5,40.5,36.2
NC,2017,37,39.7,39.3,55.3,60.5,67.1,71.8,69.9,64.4,54.6,39.9,34.5
NC,2018,24.8,42.6,36.5,46.4,64.9,69.3,71.2,72.6,72.5,56.5,42.7,39.1
NC,2019,34.7,39.7,40.2,52.9,64.3,67.5,72.1,71,67,56,39.7,38.2
NC,2020,38.6,40.2,47.5,47.3,57,68,72.8,72.1,64.3,55.5,47.6,34.9
NC,2021,33.5,34.6,44.5,48.8,55.3,67.1,70.4,71.8,62.7,55.1,37,40.3
TX,2010,17.5,19,31.6,40.9,47.6,62,64.3,62.1,56.9,42.9,25.7,24.1
TX,2011,16.6,17.9,30.1,38.3,45.1,60.8,66.5,66.5,53.5,41.6,29.5,21.6
TX,2012,23.7,23.6,35.3,43.8,51.1,61.6,66.4,62.4,53.5,38.3,30.4,20.7
TX,2013,22.5,24.2,30.6,33.5,48.2,62.5,64.9,63.5,57.5,38.9,29.5,18.5
TX,2014,19.8,22.8,28.6,37.9,48.2,60.8,63.6,63,57.6,44.7,26.3,23.9
TX,2015,24.2,24.6,33,39.8,48.5,61.1,65.9,63.3,59.2,48.3,30.1,25.2
TX,2016,21.5,27,31.2,39.4,46.6,60.5,64.5,62.3,56.8,44.4,33.9,20.2
TX,2017,24,27.1,33.2,42.3,46.1,59.5,64.5,61.2,54.5,42.7,34.7,20.3
TX,2018,17,20.2,30.8,33.8,53.1,60.7,63,61.5,54.9,43.1,26.4,20.7
TX,2019,22.5,19.7,29.1,38.3,46.1,55.8,64.2,63.8,59.4,35.6,26.5,23.1
