"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","partner_id","partner_location_id","plot_number","block","breeder_merit_score","date_planting","seed_pieces_planted","seed_observations","date_vinekill","date_harvest","date_gathered","plant_stand","final_emergence","roguing_notes","vine_maturity","verticillium_wilt","specific_gravity","undersize_yield","small_yield","mid_yield","oversize_yield","cull_tuber_defects","calc_nfpt_total_yield","calc_nfpt_mkt_yield","calc_nfpt_mkt_undersize_yield","calc_nfpt_mkt_4oz_yield","calc_nfpt_mkt_6oz_yield","calc_nfpt_mkt_10oz_yield","calc_nfpt_mkt_cull_yield","calc_nfpt_mkt_total_yield","tuber_length","tuber_width","tuber_depth","tuber_shape","tuber_flesh_color","tuber_appearance","tuber_defects","field_observations","total_weight","growth_crack","greening","defect_green","powdery_scab","common_scab","scab","shatter_bruise","internal_brown_spot","vascular_discoloration","harvest_comments","total_glycoalkaloids","fry_color","internal_tuber_defects","external_tuber_defects","comments"
"Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data","Field Data"
"Year","Trial Group","Trial Block","Trial","Variety","Variety Tag","ID","REP","SPL","Check","Partner","Partner Location","Plot","Block","Merit","Planting Date","Seed Pieces Planted","Seed Observations","VineKill Date","Harvest Date","Date Graded","Plant Stand","Final Emergence","Roguing Notes","Vine Maturity","Verticillium Wilt","Specific Gravity","Undersize Yield","4 to 6 oz Yield","6 to 10 oz Yield","Oversize Yield","Cull   Tuber Defects","Total Yield [Calc]","MKT Yield [Calc]","Undersize Yield % [Calc]","> 4oz Yield % [Calc]","> 6oz Yield % [Calc]","> 10oz Yield % [Calc]","Loss to Culls [Calc]","Total Yield % [Calc]","Tuber Length","Tuber Width","Tuber Depth","Tuber Shape","Tuber Flesh&nbsp;Color","Tuber Appearance","Tuber Defects","In-Season Field Observations","Total Weight","Growth Crack","Greening","Defects Green","Powdery Scab","Common Scab","Scab","Shatter Bruise","Internal Brown&nbsp;Spots","Vascular Discoloration","Harvest Comments","Total Glycoalkaloids","Fry Color","Internal Tuber Defects","External Tuber Defects","Comments"
"","","","","","","","","","","","","","","1-4","","","","","","","","","","1-9","","1.###","cwt/A","cwt/A","cwt/A","cwt/A","cwt/A","cwt/A","cwt/A","","","","","","","","","","1-5","1-12","1-9","","","CWT","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""," YYYY-MM-DD ","","Examples include condition of seed, size, cut vs. whole, sprouting, soft, dry rot, healthy, blank pieces"," YYYY-MM-DD "," YYYY-MM-DD "," YYYY-MM-DD ","Measured between emergence and row closure","","","","","SG=(air)/(air-water)","","","","","","","","% Under 4oz Size","%  > 4 oz","% 6oz or > (Target = 65-75%)","%  10 or > (Target = 25-40%)","%   Culls | Tuber Defects","100%-Undersize%-Culls%","","","","","","","","","","1 = 0%, 2 = 1-10%, 3 = 11-25%, 4 = 26-50%, 5 = 51-100%","1 = 0%, 2 = 1-10%, 3 = 11-25%, 4 = 26-50%, 5 = 51-100%","","","","1 = 0%, 2 = 1-10%, 3 = 11-25%, 4 = 26-50%, 5 = 51-100%","1 = 0%, 2 = 1-10%, 3 = 11-25%, 4 = 26-50%, 5 = 51-100%","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","A01010-1","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.086","31.4","24","125.9","277.4","3.5","462.1","427.2","0.07","0.93","0.88","0.6","0.01","0.92","","","","5","1","7","A few GC's","; hvy russet;larger size","462.06","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF4296-3Rus","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.095","38.8","39.2","99.7","234.3","39.2","451.2","373.2","0.09","0.91","0.81","0.57","0.09","0.83","","","","5","1","6","2nd's & GC's","; med russ; long; tend for points & twists","451.19","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AR98-9","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.085","9.2","19.6","52.3","243","32.2","356.3","314.9","0.03","0.97","0.91","0.75","0.09","0.88","","","","4","1","5","twists, some GC's","; buff/light russet; flattened;","356.25","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AO96164-1","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.075","24.4","54.4","137.2","122.8","49.2","388","314.4","0.07","0.93","0.77","0.36","0.13","0.81","","","","5","1","2","greening; some 2nd;jelly ends","; pointy with jelly ends; poor shape","388.03","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","Owyhee Russet","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.092","62.7","78.8","130.2","87.5","0","359.3","296.6","0.17","0.83","0.61","0.24","0","0.83","","","","5","1","8","no primary  noted","; hvy russet; lower yielding","359.29","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF4342-3Rus","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.095","44","63.2","105.8","172.5","27.9","413.3","341.4","0.11","0.89","0.72","0.45","0.07","0.83","","","","5","1","5","2nds","; large, patchy russet","413.3","","","","","","","","","","","","","","",""
