"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","partner_id","partner_location_id","date_planting","date_harvest","date_vinekill","breeder_merit_score","field_merit","field_comments","yield_total","specific_gravity","vine_maturity","tuber_flesh_color","tuber_shape","tuber_appearance","tuber_defects","tuber_flesh_oxidation","tuber_heat_sprouts","yield_no1","yield_total_cwt","yield_no1_percent","size_a","oversize","pickouts","hollow_heart","vascular_discoloration","size_b","heat_necrosis","brown_center","black_spot_bruise","plant_vigor","black_spot_bruise_per_tuber","disease_reaction"
"Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","Trial Information","General","General","General","General","General","General","General","General","Growth Descriptors","Growth Descriptors","Growth Descriptors","Tuber Phenotypes","Tuber Phenotypes","Tuber Phenotypes","Tuber Phenotypes","Tuber Phenotypes","Tuber Phenotypes","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data","Optional Data"
"Year","Trial Group","Trial Block","Trial","Variety","Variety Tag","ID","REP","SPL","Check","Partner","Partner Location","Planting Date","Harvest Date","VineKill Date","Merit","Field Merit","Field Comments","Total Weight","Specific Gravity","Vine Maturity","Tuber Flesh&nbsp;Color","Tuber Shape","Tuber Appearance","Tuber Defects","Tuber Flesh&nbsp;Oxidation","Tuber Heat&nbsp;Sprouts","Yield No1","Yield Total","Yield No1 Percent","Size A","Oversize","Pickouts","Hollow Heart","Vascular Discoloration","Size B","Heat Necrosis","Brown Center","Black&nbsp;Spot Bruise","Plant Vigor","Black&nbsp;Spot Bruise Tuber","Disease Reaction"
"","","","","","","","","","","","","","","","1-4","1-4","","kg","1.###","1-9","1-12","1-5","1-9","","","","cwt/A","cwt/A","","","","","","","","","","","","",""
"","","","","","","","","","","",""," YYYY-MM-DD "," YYYY-MM-DD "," YYYY-MM-DD ","","","","3 digits and a tenth","SG=(air)/(air-water)","","","","","","","","US#1","","","1 7/8"" - 3.25""","> 3.25""","Pickouts / Culls","","","< 1 7/8""","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","A00188-3C","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","ND091831C-8","","","","1","","","","","","","3","","","21.1","1.083","","1","3","5","Pear","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSZ222-19","","","","1","","","","","","","4","","","18.8","1.084","","1","2","3","GC","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NC252-49","","","","1","","","","","","","4","","","47.8","1.097","","1","2","4","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NC280-89","","","","1","","","","","","","3","","","46.4","1.085","","1","3","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NC317-12","","","","1","","","","","","","4","","","33.1","1.08","","1","2","4","GC","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NC317-12","","","","1","","","","","","","2","","","40","","","","2","5","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NC329-9","","","","1","","","","","","","3","","","35.1","1.094","","1","2","6","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NC363-4","","","","1","","","","","","","2","","","60.6","1.08","","1","3","8","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NC371-3","","","","1","","","","","","","2","","","40.4","1.078","","1","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NC371-7","","","","1","","","","","","","3","","","35.1","1.082","","1","2","5","GC","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NCJ107-6","","","","1","","","","","","","2","","","26.6","1.081","","1","2","6","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NCJ107-6","","","","1","","","","","","","2","","","30.2","","","","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","ND102809AB-2","","","","1","","","","","","","2","","","21.8","1.09","","1","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","Mackinaw","","","","1","","","","","","","2","","","37.8","","","","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","ND113376CAb-1","","","","1","","","","","","","2","","","37.8","1.071","","1","3","7","GC","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","ND113394CAb-2","","","","1","","","","","","","3","","","17.4","1.084","","1","2","6","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","ND113394CAB-7","","","","1","","","","","","","3","","","20.1","1.082","","1","2","6","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","ND113490C-3","","","","1","","","","","","","2","","","33.1","1.085","","1","2","8","Pear","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","ND113493C-1","","","","1","","","","","","","3","","","23.1","1.084","","1","3","5","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","ND113512ABC-7","","","","1","","","","","","","2","","","28.2","1.079","","1","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","ND113521C-4","","","","1","","","","","","","2","","","36.1","1.074","","1","2","6","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NDA081453CAB-2C","","","","1","","","","","","","4","","","30.8","1.08","","1","2","4","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NDA081453CAB-2C","","","","1","","","","","","","4","","","29.1","","","","2","4","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NDTX071109C-1W","","","","1","","","","","","","4","","","31","1.07","","1","2","4","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NDTX071109C-1W","","","","1","","","","","","","4","","","34.8","","","","2","4","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSZ219-01","","","","1","","","","","","","2","","","47.6","1.088","","1","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","Mackinaw","","","","1","","","","","","","3","","","33.8","1.089","","1","2","6","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NDTX081644CAB-2W","","","","1","","","","","","","4","","","28.8","","","","2","4","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW044-1","","","","1","","","","","","","2","","","44","1.086","","1","2","6","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSV358-3","","","","1","","","","","","","3","","","28.2","1.083","","1","2","4","Pear","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSV358-3","","","","1","","","","","","","3","","","24.1","","","","2","5","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSV380-1","","","","1","","","","","","","2","","","30.6","1.086","","1","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSV383-B","","","","1","","","","","","","2","","","32.6","1.09","","1","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSV393-1","","","","1","","","","","","","4","","","21.8","1.082","","1","2","5","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSV434-1Y","","","","1","","","","","","","3","","","19.2","1.072","","3","2","7","GC","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSV440-6","","","","1","","","","","","","4","","","32.6","1.076","","3","3","5","Pear","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSV498-1","","","","1","","","","","","","2","","","29.1","1.078","","1","2","6","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSV498-1","","","","1","","","","","","","2","","","34.8","","","","2","6","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSV507-040","","","","1","","","","","","","2","","","33.1","1.089","","1","2","8","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSV507-056","","","","1","","","","","","","3","","","25.4","1.093","","1","3","6","Scab","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW075-1","","","","1","","","","","","","2","","","39","1.08","","1","2","8","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSX240-3","","","","1","","","","","","","3","","","39.1","1.082","","1","2","5","GC","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW134-1","","","","1","","","","","","","4","","","38","1.076","","1","4","5","Pear","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW138-02","","","","1","","","","","","","1","","","43.1","1.089","","1","2","9","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW168-2","","","","1","","","","","","","2","","","41.1","1.089","","1","1","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW299-2","","","","1","","","","","","","2","","","52.6","1.082","","1","3","8","Heat Sprout","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW360-18","","","","1","","","","","","","2","","","35.1","1.077","","1","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW360-18","","","","1","","","","","","","2","","","38.6","","","","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW474-1","","","","1","","","","","","","3","","","43.1","1.083","","1","2","6","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW474-1","","","","1","","","","","","","3","","","41","","","","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","Huron Chipper","","","","1","","","","","","","2","","","41.1","1.082","","1","2","8","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW505-2","","","","1","","","","","","","2","","","27.6","1.083","","1","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW509-5","","","","1","","","","","","","3","","","36","1.081","","1","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSW509-5","","","","1","","","","","","","3","","","32.1","","","","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NDTX081644CAB-2W","","","","1","","","","","","","4","","","31.8","1.081","","1","2","4","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","NDTX102461AB-4W","","","","1","","","","","","","4","","","17.8","1.078","","1","4","4","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","MSV307-2","","","","1","","","","","","","2","","","31","1.09","","1","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","W9835-2","","","","1","","","","","","","4","","","46.1","","","","2","5","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","TC09403-4W","","","","1","","","","","","","3","","","30.1","1.069","","1","3","6","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","TX09403-14W","","","","1","","","","","","","2","","","36","1.086","","1","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","TX09403-14W","","","","1","","","","","","","3","","","37.1","","","","2","7","","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","W10128-1","","","","1","","","","","","","4","","","48.1","1.085","","1","3","2","GC","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","W10128-13","","","","1","","","","","","","4","","","49.4","1.073","","1","3","5","GC","","","","","","","","","","","","","","","","",""
"2015","NCPT","CA","2015 NCPT CA","W10128-27","","","","1","","","","","","","3","","","37","1.08","","1","3","7","","","","","","","","","","","","","","","","","",""
