state,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
NorthCarolina,2005,1.79,2.42,4.91,4.9,5.12,4.92,3.1,2.9,2.19,11.49,2.26,4.97
NorthCarolina,2006,3.25,1.07,1.48,3.7,5.3,7.67,4.64,2.96,10.54,4.36,7.13,2.27
NorthCarolina,2007,2.54,2.36,1.79,4.07,2.23,4.11,5.44,2.25,1.83,5.53,0.48,3.92
NorthCarolina,2008,1.33,5.26,4.64,3.74,2.83,0.31,7.96,2.79,4.17,2.17,5.27,3.57
NorthCarolina,2009,3.13,0.7,6.02,0.9,3.45,3.6,5.58,5.37,6.29,1.59,7.63,8.51
NorthCarolina,2010,5.8,3.66,5.68,2.2,4.42,1.9,2.56,4.8,14.17,7.86,1.16,2.73
NorthCarolina,2011,2.34,2.97,5.05,3.33,2.16,2.29,4.05,16.37,8.05,1.64,3.19,1.17
NorthCarolina,2012,2.17,3.72,4.06,3.06,7.65,1.61,7.87,3.47,4.97,4.44,0.79,4.6
NorthCarolina,2013,2.41,4.08,1.52,3.48,1.85,13.47,7.28,7.46,2.58,4.43,2.63,5.27
NorthCarolina,2014,2.74,2.37,5.8,5.97,2.56,7.57,7.08,5.99,7.35,1.38,3.75,5.04
NorthCarolina,2015,5.44,4.08,4.33,3.84,2.98,4.64,3.96,2,5.76,7.26,6.46,4.39
NorthCarolina,2016,3.19,8.2,2.52,5.48,5.3,4.42,5.59,4.36,16.3,11.4,1.71,3.17
NorthCarolina,2017,3.44,1.24,3.94,8.14,6.48,4.04,6.44,5.1,4.48,3.17,1.42,3.22
NorthCarolina,2018,4.41,2.88,4.64,5.3,6.93,4.85,8,3.16,10.65,2.65,4.5,5.65
NorthCarolina,2019,3.2,4.17,2.89,6.26,0.98,5,7.32,11.71,7.1,2.51,3.27,2.45
NorthCarolina,2020,3.34,5.99,3.14,4.05,5.01,5.96,6.61,7.9,5.4,1.93,9.39,3.76
Texas,2005,1.11,0.72,0.85,1.14,1.2,1.26,0.46,3.86,2.08,0.4,0.28,0.07
Texas,2006,0.02,0,1.25,0.28,0.78,2.56,2.71,4.49,1.93,0.82,0.05,1.75
Texas,2007,0.37,0.14,1.73,0.83,1.35,1.97,1.93,2.2,1.68,0.23,0.13,0.45
Texas,2008,0.02,0.24,0.15,0.1,1.33,1.72,3.98,2.01,0.29,4.93,0.07,0.3
Texas,2009,0,0.4,1.19,0.85,0.22,2.41,5.39,0.7,0.28,2.82,0.05,0.12
Texas,2010,2.28,1.44,1.22,0.34,1.67,2.92,2.39,2.43,0.25,0.65,0.1,0.25
Texas,2011,0.21,0.26,0.01,0.1,0.03,0.21,0.29,1.65,0.73,1.52,0.1,0.93
Texas,2012,0.02,0.05,0.35,1.17,0.21,1.9,0.12,2.15,0.36,0.02,0,0.31
Texas,2013,0.17,0.63,0.06,0,0.44,0.63,1.53,1.56,1.64,0.12,0.85,0.21
Texas,2014,0.01,0.08,0.09,0.11,1.55,3.77,2.15,0.88,1.55,1.01,0.15,0.33
Texas,2015,1.72,1.59,0.08,1.3,2.02,0.85,4.15,1.72,1.07,5.3,1.02,0.41
Texas,2016,0.11,0.14,0.16,4.18,2.36,2.01,2.07,2.89,3.42,0.1,1.17,0.2
Texas,2017,1.03,0.05,1.42,5.25,1.39,1.26,3.01,3.83,3.01,4.03,0.13,0
Texas,2018,0.01,0,0,0.73,1.07,3.12,0.62,1.23,0.26,4.31,0.14,1.12
Texas,2019,0.08,0.8,0.7,0.36,2.62,4.23,0.62,1.13,2.04,1.08,0.62,0.69
Texas,2020,0.65,0.18,0.58,0.17,0.93,1.05,3.63,0.39,1.19,0.78,0.54,0.27
Colorado,2005,1.34,0.54,0.49,0.35,1.42,0.47,0.81,1.45,1.51,1.62,0.08,0.08
Colorado,2006,0.23,0.02,0.57,1.05,0.15,0.14,2.72,2.11,0.84,2.07,0.21,1.2
Colorado,2007,0.58,0.62,0.58,0.9,1.64,0.74,1.42,1.45,0.54,0.3,0.15,2.02
Colorado,2008,0.81,0.72,0.76,0.23,0.17,0.24,1.45,2.83,0.18,0.06,0.29,1.53
Colorado,2009,0.15,0.07,0.42,1.31,1.9,1.01,1.04,1.18,1.34,2.14,0.05,0.47
Colorado,2010,1.17,0.21,1.24,0.63,0.15,0.41,1.33,1.43,0.6,0.31,0.08,0.38
Colorado,2011,0.07,0.65,0.06,0.15,0.62,0,0.42,1.74,0.67,1.22,0.19,0.9
Colorado,2012,0.01,0.37,0.13,0.01,0.84,0.48,1.82,1.01,2.09,0.26,0.28,0.64
