code,cross.site,sel.site
^A$,Idaho,Idaho
^AA$,Idaho,Idaho
^AW$,Idaho,Wisconsin
^AC$,Idaho,Colorado
^AO$,Idaho,Oregon
^AOA$,Idaho,Idaho
^ATX$,Idaho,Texas
^AF$,Maine,Maine
^BTX$,Maryland,Texas
^CO$,Colorado,Colorado
^COA$,Colorado,Idaho
^NDA$,NorthDakota,Idaho
^NDTX$,NorthDakota,Texas
^NY[A-Z]{1}$,NewYork,NewYork
^TC$,Texas,Colorado
"^MS[A-Z]{1,2}$",Michigan,Michigan
^W$,Wisconsin,Wisconsin
^ND$,NorthDakota,NorthDakota
^AORTX$,Idaho,Texas
^AOND$,Idaho,NorthDakota
^AND$,Idaho,NorthDakota
^BNC$,Beltsville,NorthCarolina
^NY$,NewYork,NewYork
^AOTX$,Texas,Texas
^TX$,Texas,Texas
^COTX$,Colorado,Texas
^ATTX$,Idaho,Texas
^NC$,NorthCarolina,NorthCarolina
^AFW$,Maine,Wisconsin
^WAF$,Wisconsin,Maine
^WTX$,Wisconsin,Texas
^OR$,Oregon,Oregon
^AOR$,Idaho,Oregon
^AAF$,Idaho,Maine
^AFC$,Maine,Colorado
^NDAF$,NorthDakota,Maine
^COOR$,Colorado,Oregon
^NDOR$,NorthDakota,Oregon
^B$,Wisconsin,Wisconsin
^NCJ$,NorthCarolina,NorthCarolina
^BTD$,Maryland,Maryland
^MSAFB$,Michigan,Maine
^NYOR$,NewYork,NewYork
^NYOR[A-Z]{1}$,NewYork,NewYork
^NYW[A-Z]{1}$,Wisconsin,NewYork
^WIA$,Wisconsin,Idaho
^NCB$,NorthCarolina,NorthCarolina
