state,env,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Colorado,maxTemp,2021,32.3,37.1,48,58.8,67.7,79.7,81.7,80.5,78.3,60.5,54.2,42.6
Idaho,maxTemp,2021,27.3,28.1,38.2,47.3,62.1,77.5,82.5,74.6,70.7,54.3,41.8,30.9
Maine,maxTemp,2021,25.7,26.3,37.9,53.9,64.9,76.7,74.9,80,68,58.8,41.5,29.5
Michigan,maxTemp,2021,33.2,28.6,52.5,59,69.5,81.3,81.6,84.3,76.3,64.5,46.2,41.2
NewYork,maxTemp,2021,30.9,30.8,47,55.1,66.2,78.6,78.5,80.8,73,64.3,46.1,41.2
NorthCarolina,maxTemp,2021,50.5,51.1,65.2,72.6,80.3,84.2,87.8,88.9,84.4,78.1,62.8,63.2
NorthDakota,maxTemp,2021,25.7,14.1,48.3,54.8,68.5,84.7,86.6,82.6,76.1,60.3,38.9,21.3
Oregon,maxTemp,2021,47.7,45.5,60.1,69.6,76.6,89.7,96.2,89.4,82.1,68.7,54.1,44.8
Texas,maxTemp,2021,51,45,61.8,69.3,76.4,90.6,89.2,93,88.1,75.8,66.3,61.3
Wisconsin,maxTemp,2021,27.6,21,48.5,57.7,67.1,81.9,81,80.8,73.7,63.8,43.6,33.9
California,maxTemp,2021,62.1,65.9,68.9,80.6,87.2,96.4,102.8,99.5,93,77.2,67.3,57.1
Florida,maxTemp,2021,68.9,73.6,75.9,78.4,84.6,87.5,88.1,89.3,86.9,84,72.6,76.6
Colorado,maxTemp,2022,37.7,37.4,49.8,60.7,70.8,77.8,80.1,77,76.2,58.7,43.3,38.3
Idaho,maxTemp,2022,23.8,24.7,38.6,46.2,56.1,68,82.3,80.1,75.3,55.1,28.4,27.3
Maine,maxTemp,2022,17.8,24.9,33.7,46.8,66.5,70.1,79.4,76.6,67.3,61.5,42,32.9
Michigan,maxTemp,2022,27.6,32.2,45.2,52.1,71.2,80.4,83.3,81,72.8,61.8,49,35.2
NewYork,maxTemp,2022,27.4,34.5,44.9,54.3,70.6,75.6,82.8,81.4,69.8,60.5,50.6,37
NorthCarolina,maxTemp,2022,50.9,59.2,66.9,73.9,80.6,86.9,90.4,88,84,70.3,66.9,54.3
NorthDakota,maxTemp,2022,12.2,13.1,31.3,39.3,65.7,80,82.8,81.5,73.4,60,33.7,16
Oregon,maxTemp,2022,38.2,52,60.9,61.3,69.1,78.7,93.7,93.9,82.3,75.7,50.4,39.6
Texas,maxTemp,2022,52.8,50,62.4,75.3,84.4,90.4,96.6,90.1,89.4,71.5,54.5,54.2
Wisconsin,maxTemp,2022,20.6,26,38.3,49.2,68.3,77.4,80.8,78.2,71.3,59.5,46.6,27.3
California,maxTemp,2022,61.2,67.9,73.5,77.4,84.4,94.7,100.3,100.9,94.7,83.8,65,55.3
Florida,maxTemp,2022,67.9,73.4,77.5,79.9,85.9,90.2,90.9,90.4,87.1,80.8,76.7,70.9
Colorado,minTemp,2021,2.8,10.1,15.8,24.6,34.2,44.1,49.6,46.4,40.5,25.8,16.8,10.5
Idaho,minTemp,2021,10.2,10.7,14.8,23.8,33.5,45.8,50.8,46.5,38.2,32.6,25.7,19.5
Maine,minTemp,2021,13.6,6.4,15.8,32.5,40.3,53.2,53.6,59,48.9,40.9,26.7,13.2
Michigan,minTemp,2021,23,13,30,37.9,45.6,60.4,63,64.2,54.8,49.4,30.8,27.8
NewYork,minTemp,2021,20.5,13.1,24.1,34.5,42.5,56.1,57.7,60.6,51.6,47.1,28.5,27.3
NorthCarolina,minTemp,2021,33.5,34.6,44.5,48.8,55.3,67.1,70.4,71.8,62.7,55.1,37,40.3
NorthDakota,minTemp,2021,9.3,-3.6,20.2,27,37.8,53.8,59.3,56.7,49.9,38.6,21.7,0.2
Oregon,minTemp,2021,29,27.6,29.7,34.8,45.9,57,61.8,57.3,45.5,37.7,32.6,25.9
Texas,minTemp,2021,22.7,14.9,30.1,35.6,50.7,59.5,62.8,61.4,56.1,40.9,29.6,24.7
Wisconsin,minTemp,2021,12.9,-0.7,27.6,35,44.5,58.5,58.6,58.3,48.3,44.8,24.5,17.6
California,minTemp,2021,40.5,42.3,45.4,52.8,60.8,70.4,77.2,72.4,67.4,54,47.2,40.9
Florida,minTemp,2021,45.9,49.8,54.8,55.6,61.9,70.9,72.9,73.9,70.2,63.8,50.1,52.5
Colorado,minTemp,2022,5.2,3.3,16.9,23.6,35.5,45.3,50.5,48.4,42.5,29.2,12.1,8.5
Idaho,minTemp,2022,5.6,3.4,15.5,24.1,32,39.5,50,49.5,42,29,7.9,10.7
Maine,minTemp,2022,-4.4,4.1,17.3,30.8,42.2,49.6,56,55.9,46.4,38.1,26.5,19.6
Michigan,minTemp,2022,12.7,17,27.3,35.1,51.7,58,62.4,61.9,54.6,39.5,32.8,25.1
NewYork,minTemp,2022,6.5,13.5,22.8,34.4,45.8,51.7,57.1,57.5,51.2,36.3,33.3,21.9
NorthCarolina,minTemp,2022,30.5,35.3,42.8,49.3,60.5,65.8,72.1,69.7,61.3,49,44.7,32.6
NorthDakota,minTemp,2022,-10.8,-10.8,12.6,24.2,43.9,53.5,59.2,56.7,46.9,33.3,17.5,1
Oregon,minTemp,2022,24.6,23.8,35.4,35,45.1,50.2,57.5,58.1,46.2,39.6,26.9,21.2
Texas,minTemp,2022,17.2,15.2,26.7,37.9,49.4,61.4,66.2,62.2,55.6,43,26.2,20.7
Wisconsin,minTemp,2022,0.1,5.6,21.9,30.7,48.2,54.5,58.7,57.6,50.6,36.9,26.8,14.5
California,minTemp,2022,39,38.9,48,51.6,58.4,68,73.2,73.8,70.1,59.3,41.5,40.3
Florida,minTemp,2022,43.5,47.4,53.5,57.9,65.5,70.1,72.9,73.1,71.3,58.4,59.9,47.9
Colorado,precip,2021,0.65,0.12,0.86,0.33,1.21,0.82,1.35,1.04,0.53,0.33,0.03,0.02
Idaho,precip,2021,1.79,3.3,1.58,0.82,2.63,0.04,1.5,2.62,0.98,1.86,1.23,3.2
Maine,precip,2021,1.26,2.88,2.44,3.5,3.51,3.41,2.94,2.46,6.13,2.48,2.65,3.37
Michigan,precip,2021,1.37,1.84,1.51,1.91,1.92,8.49,4.44,2.33,3.34,6.44,2.22,2.23
NewYork,precip,2021,1.84,2.43,1.19,3.88,4.05,4.42,6.32,6.24,5.23,7.35,2.69,2.26
NorthDakota,precip,2021,0.3,0.16,0.23,0.89,2.29,2.45,0.42,5.06,1.37,3.48,1.12,1.36
Oregon,precip,2021,0.7,0.81,0.07,0.02,0.36,0.19,0.06,0.01,0.68,0.94,1.12,1.5
Texas,precip,2021,0.14,0.06,1.3,0.02,2.19,2.19,3.91,0.55,1.02,0.27,0,0
Wisconsin,precip,2021,0.61,1.05,1.13,1.39,2.55,4.74,4.83,9.25,0.69,1.28,0.84,1.48
California,precip,2021,0.98,0.09,0.77,0.19,0,0,0,0,0,0.94,0.01,2.6
Florida,precip,2021,0.61,5.45,1.56,5.84,1.4,7.3,9.89,5.9,4.98,1.79,3.53,3.35
NorthCarolina,precip,2021,5.95,10.35,1.9,2.23,2.08,13.28,5,4.2,2.1,1.22,1.42,2.82
Colorado,precip,2022,0.29,0.82,0.71,0.32,0.12,1.1,2.36,1.99,0.68,1.68,0.41,0.02
Idaho,precip,2022,1.91,0.48,0.71,1.27,1.74,1.72,0.28,1.6,1.05,0.91,3.25,2.74
Maine,precip,2022,2.4,3.58,4,3.47,3.46,4.65,4.08,3.75,1.86,4.46,4.96,4.53
Michigan,precip,2022,1.43,4.2,3.5,5.19,4.07,1.42,2.82,4.98,1.3,3.74,2.33,2.75
